ablation_variant,trial,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
full_suite,0,gOMP,optimized,0.0004578080006467644,3.6657005693996325e-05,9.357900125905871e-05,0.00015173199790297076,5.6830998801160604e-05,0.0
full_suite,1,gOMP,optimized,0.00034083200080203824,5.557699842029251e-05,6.357500024023466e-05,0.0001020499985315837,3.364499207236804e-05,0.0
full_suite,2,gOMP,optimized,0.0002620630002638791,2.4227003450505435e-05,5.2262996177887544e-05,8.348099800059572e-05,2.8594000468729064e-05,0.0
full_suite,3,gOMP,optimized,0.00023674700059928,2.699900505831465e-05,5.033799970988184e-05,7.984099647728726e-05,2.5703993742354214e-05,0.0
full_suite,4,gOMP,optimized,0.00023395799871650524,2.2801003069616854e-05,5.2835006499662995e-05,7.837099474272691e-05,2.715999653446488e-05,0.0
full_suite,5,gOMP,optimized,0.00022154599719215184,2.3417996999341995e-05,4.7801993787288666e-05,7.360400195466354e-05,2.6082001568283886e-05,0.0
full_suite,6,gOMP,optimized,0.00023134899674914777,1.9971001165686175e-05,4.823999552172609e-05,8.031800098251551e-05,2.7462996513349935e-05,0.0
full_suite,7,gOMP,optimized,0.00021471600121003576,2.2814998374087736e-05,4.622100095730275e-05,7.177899897214957e-05,2.5088000256801024e-05,0.0
full_suite,8,gOMP,optimized,0.00022910600091563538,1.9732000509975478e-05,4.9379992560716346e-05,8.03400034783408e-05,2.6474997866898775e-05,0.0
full_suite,9,gOMP,optimized,0.00022492800053441897,2.2386000637197867e-05,4.474600063986145e-05,7.32829976186622e-05,2.569800562923774e-05,0.0
full_suite,10,gOMP,optimized,0.00020954900173819624,2.058300015050918e-05,4.436800008988939e-05,7.076800102367997e-05,2.4575005227234215e-05,0.0
full_suite,11,gOMP,optimized,0.0002629289992910344,2.767400656011887e-05,5.288000829750672e-05,8.527499812771566e-05,4.0710001485422254e-05,0.0
full_suite,12,gOMP,optimized,0.0003137179992336314,2.6225992769468576e-05,8.053599958657287e-05,9.986499935621396e-05,4.227199679007754e-05,0.0
full_suite,13,gOMP,optimized,0.0002638550031406339,3.891700180247426e-05,5.4626998462481424e-05,8.371599687961861e-05,2.955399759230204e-05,0.0
full_suite,14,gOMP,optimized,0.00023822699949960224,2.0361003407742828e-05,5.494899596669711e-05,7.906099926913157e-05,2.6391000574221835e-05,0.0
full_suite,15,gOMP,optimized,0.000275602000328945,2.8664002456935123e-05,5.9600002714432776e-05,9.468200369155966e-05,2.9789996915496886e-05,0.0
full_suite,16,gOMP,optimized,0.00029459399956976995,2.182100070058368e-05,6.005399700370617e-05,8.580700523452833e-05,2.879299790947698e-05,0.0
full_suite,17,gOMP,optimized,0.00027783800032921135,2.259699977003038e-05,5.6421002227580175e-05,0.0001072410013875924,3.023299723281525e-05,0.0
full_suite,18,gOMP,optimized,0.0002688450003915932,2.9295006243046373e-05,5.3723997552879155e-05,9.978299931390211e-05,3.025299884029664e-05,0.0
full_suite,19,gOMP,optimized,0.0002269950018671807,1.97020017367322e-05,5.2577008318621665e-05,7.54630018491298e-05,2.611799573060125e-05,0.0
full_suite,20,gOMP,optimized,0.00023852899903431535,2.3770000552758574e-05,5.3386003855848685e-05,7.91910060797818e-05,2.7981997845927253e-05,0.0
full_suite,21,gOMP,optimized,0.0002946439999504946,2.2962009097682312e-05,6.087699512136169e-05,9.946399222826585e-05,3.830399509752169e-05,0.0
full_suite,22,gOMP,optimized,0.00023382300059893169,2.4728004063945264e-05,4.871699638897553e-05,7.716299660387449e-05,2.8243997803656384e-05,0.0
full_suite,23,gOMP,optimized,0.00022784299653721973,1.9271010387456045e-05,4.6956996811786667e-05,7.287700645974837e-05,2.6706999051384628e-05,0.0
full_suite,24,gOMP,optimized,0.00027412799681769684,2.490499900886789e-05,5.8338006056146696e-05,8.705900472705252e-05,2.8684004064416513e-05,0.0
full_suite,25,gOMP,optimized,0.0002393060021859128,2.104000304825604e-05,5.154900281922892e-05,8.29310083645396e-05,2.7899997803615406e-05,0.0
full_suite,26,gOMP,optimized,0.00023981900085345842,2.3118005628930405e-05,5.0658003601711243e-05,7.893700239947066e-05,2.7530993975233287e-05,0.0
full_suite,27,gOMP,optimized,0.0002651369977684226,2.431800021440722e-05,6.775400106562302e-05,8.783900193520822e-05,3.0364997655851766e-05,0.0
full_suite,28,gOMP,optimized,0.00022821599850431085,2.3494998458772898e-05,4.731400986202061e-05,7.762800305499695e-05,2.6387999241705984e-05,0.0
full_suite,29,gOMP,optimized,0.0004209259968774859,3.8990998291410506e-05,7.4689003668027e-05,0.00016472500283271074,6.556799417012371e-05,0.0
