ablation_variant,trial,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
full_suite,0,gOMP+Adaptive+Incremental,optimized,0.001962438996997662,3.1682997359894216e-05,0.0007441219786414877,0.0002681789774214849,4.749400250148028e-05,0.0006651910080108792
full_suite,1,gOMP+Adaptive+Incremental,optimized,0.0012277850037207827,2.4962981115095317e-05,0.0006104210042394698,0.00026833997981157154,3.84720042347908e-05,0.0001402009802404791
full_suite,2,gOMP+Adaptive+Incremental,optimized,0.001218043005792424,2.290199336130172e-05,0.0006122839986346662,0.00023102900013327599,3.700600063893944e-05,0.0001673099905019626
full_suite,3,gOMP+Adaptive+Incremental,optimized,0.0011843640095321462,3.0198993044905365e-05,0.0006176349852466956,0.00024045704049058259,3.9964012103155255e-05,0.00011691704276017845
full_suite,4,gOMP+Adaptive+Incremental,optimized,0.0011949710024055094,2.825801493600011e-05,0.0006264010007726029,0.00022778299171477556,4.563301627058536e-05,0.00011891298345290124
full_suite,5,gOMP+Adaptive+Incremental,optimized,0.0014230679953470826,2.6053967303596437e-05,0.0006363400170812383,0.00023517600493505597,3.958003071602434e-05,0.0003360690170666203
full_suite,6,gOMP+Adaptive+Incremental,optimized,0.001612787993508391,2.8138019843026996e-05,0.0006618189945584163,0.00024056997790466994,4.746398190036416e-05,0.0004531620070338249
full_suite,7,gOMP+Adaptive+Incremental,optimized,0.001561395009048283,2.6846988475881517e-05,0.0006933779804967344,0.00025131701841019094,4.250499478075653e-05,0.0003781089617405087
full_suite,8,gOMP+Adaptive+Incremental,optimized,0.0015192160062724724,3.103000926785171e-05,0.0006824299925938249,0.0002561230066930875,4.6388027840293944e-05,0.0003459639847278595
full_suite,9,gOMP+Adaptive+Incremental,optimized,0.00135368799965363,3.861298318952322e-05,0.0006450029904954135,0.0003257250500610098,4.516600165516138e-05,0.0001445569796487689
full_suite,10,gOMP+Adaptive+Incremental,optimized,0.0021386259904829785,3.532500704750419e-05,0.0007936510082799941,0.0003128340031253174,6.317501538433135e-05,0.0007003460050327703
full_suite,11,gOMP+Adaptive+Incremental,optimized,0.0012033279926981777,2.4280991056002676e-05,0.0006382920109899715,0.00023991099442355335,3.862498851958662e-05,0.00012197298929095268
full_suite,12,gOMP+Adaptive+Incremental,optimized,0.001453610006137751,2.854401827789843e-05,0.0006602149951504543,0.0002630529925227165,4.195902147330344e-05,0.00029287199140526354
full_suite,13,gOMP+Adaptive+Incremental,optimized,0.0011531360069056973,2.3788976250216365e-05,0.0006078489968786016,0.0002343769883736968,3.675099287647754e-05,0.00011305299995001405
full_suite,14,gOMP+Adaptive+Incremental,optimized,0.001240400000824593,2.6766007067635655e-05,0.0006118460005382076,0.0002438930096104741,3.9659993490204215e-05,0.0001723220048006624
full_suite,15,gOMP+Adaptive+Incremental,optimized,0.0011906060099136084,2.2199979866854846e-05,0.0006119820318417624,0.0002306889946339652,3.7173012970015407e-05,0.00014553901564795524
full_suite,16,gOMP+Adaptive+Incremental,optimized,0.0015064360050018877,3.384200681466609e-05,0.0008071339980233461,0.0002708260144572705,6.447701889555901e-05,0.00014497200027108192
full_suite,17,gOMP+Adaptive+Incremental,optimized,0.0011654999980237335,2.6617010007612407e-05,0.000573333993088454,0.00023451601737178862,4.049099516123533e-05,0.00014124099106993526
