k,trial,algorithm,implementation,peak_working_set_bytes,residual_bytes,x_hat_bytes,support_mask_bytes,solver_gram_bytes,solver_rhs_bytes,support_history_bytes,residual_history_bytes,support_size_history_bytes,candidate_size_history_bytes,group_size_history_bytes,support_condition_history_bytes,extra_array_bytes
32,248,Improved-gOMP,baseline,5248.0,768.0,2048.0,0.0,0.0,0.0,1904.0,112.0,104.0,104.0,104.0,104.0,0.0
32,248,Improved-gOMP,optimized,11224.0,768.0,2048.0,0.0,7688.0,248.0,248.0,112.0,104.0,0.0,0.0,8.0,0.0
32,249,Improved-gOMP,baseline,5064.0,768.0,2048.0,0.0,0.0,0.0,1760.0,104.0,96.0,96.0,96.0,96.0,0.0
32,249,Improved-gOMP,optimized,11744.0,768.0,2048.0,0.0,8192.0,256.0,256.0,112.0,104.0,0.0,0.0,8.0,0.0
32,250,Improved-gOMP,baseline,4888.0,768.0,2048.0,0.0,0.0,0.0,1584.0,104.0,96.0,96.0,96.0,96.0,0.0
32,250,Improved-gOMP,optimized,8832.0,768.0,2048.0,0.0,5408.0,208.0,208.0,96.0,88.0,0.0,0.0,8.0,0.0
32,251,Improved-gOMP,baseline,5176.0,768.0,2048.0,0.0,0.0,0.0,1832.0,112.0,104.0,104.0,104.0,104.0,0.0
32,251,Improved-gOMP,optimized,9744.0,768.0,2048.0,0.0,6272.0,224.0,224.0,104.0,96.0,0.0,0.0,8.0,0.0
32,252,Improved-gOMP,baseline,5312.0,768.0,2048.0,0.0,0.0,0.0,1968.0,112.0,104.0,104.0,104.0,104.0,0.0
32,252,Improved-gOMP,optimized,11744.0,768.0,2048.0,0.0,8192.0,256.0,256.0,112.0,104.0,0.0,0.0,8.0,0.0
32,253,Improved-gOMP,baseline,5176.0,768.0,2048.0,0.0,0.0,0.0,1832.0,112.0,104.0,104.0,104.0,104.0,0.0
32,253,Improved-gOMP,optimized,9744.0,768.0,2048.0,0.0,6272.0,224.0,224.0,104.0,96.0,0.0,0.0,8.0,0.0
32,254,Improved-gOMP,baseline,4952.0,768.0,2048.0,0.0,0.0,0.0,1648.0,104.0,96.0,96.0,96.0,96.0,0.0
32,254,Improved-gOMP,optimized,10216.0,768.0,2048.0,0.0,6728.0,232.0,232.0,104.0,96.0,0.0,0.0,8.0,0.0
32,255,Improved-gOMP,baseline,5312.0,768.0,2048.0,0.0,0.0,0.0,1968.0,112.0,104.0,104.0,104.0,104.0,0.0
32,255,Improved-gOMP,optimized,11744.0,768.0,2048.0,0.0,8192.0,256.0,256.0,112.0,104.0,0.0,0.0,8.0,0.0
32,256,Improved-gOMP,baseline,4680.0,768.0,2048.0,0.0,0.0,0.0,1416.0,96.0,88.0,88.0,88.0,88.0,0.0
32,256,Improved-gOMP,optimized,8392.0,768.0,2048.0,0.0,5000.0,200.0,200.0,88.0,80.0,0.0,0.0,8.0,0.0
32,257,Improved-gOMP,baseline,4888.0,768.0,2048.0,0.0,0.0,0.0,1584.0,104.0,96.0,96.0,96.0,96.0,0.0
32,257,Improved-gOMP,optimized,8832.0,768.0,2048.0,0.0,5408.0,208.0,208.0,96.0,88.0,0.0,0.0,8.0,0.0
32,258,Improved-gOMP,baseline,5312.0,768.0,2048.0,0.0,0.0,0.0,1968.0,112.0,104.0,104.0,104.0,104.0,0.0
32,258,Improved-gOMP,optimized,11744.0,768.0,2048.0,0.0,8192.0,256.0,256.0,112.0,104.0,0.0,0.0,8.0,0.0
32,259,Improved-gOMP,baseline,5176.0,768.0,2048.0,0.0,0.0,0.0,1832.0,112.0,104.0,104.0,104.0,104.0,0.0
32,259,Improved-gOMP,optimized,11744.0,768.0,2048.0,0.0,8192.0,256.0,256.0,112.0,104.0,0.0,0.0,8.0,0.0
32,260,Improved-gOMP,baseline,5248.0,768.0,2048.0,0.0,0.0,0.0,1904.0,112.0,104.0,104.0,104.0,104.0,0.0
32,260,Improved-gOMP,optimized,8832.0,768.0,2048.0,0.0,5408.0,208.0,208.0,96.0,88.0,0.0,0.0,8.0,0.0
32,261,Improved-gOMP,baseline,4624.0,768.0,2048.0,0.0,0.0,0.0,1360.0,96.0,88.0,88.0,88.0,88.0,0.0
32,261,Improved-gOMP,optimized,7984.0,768.0,2048.0,0.0,4608.0,192.0,192.0,88.0,80.0,0.0,0.0,8.0,0.0
32,262,Improved-gOMP,baseline,5016.0,768.0,2048.0,0.0,0.0,0.0,1712.0,104.0,96.0,96.0,96.0,96.0,0.0
