trial,measurement_ratio,algorithm,m,n,matrix_kind,coeff_mode,snr_db,noise_sigma,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,stop_reason,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,used_incremental_solver,fallback_reason,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver
3,0.25,RMP,64,256,gaussian,gaussian,20.0,0.0327181681361854,0.016202025446180754,0.1272871770689442,0.8125,0.8125,0,0.000892100011697039,16,16.0,0.17010753408608,target_sparsity_reached,3,3,0.000364800012903288,1.0,False,,0,0,2.4523317538282354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.25,OMP,64,256,gaussian,gaussian,20.0,0.04683775378342844,0.005394831753068122,0.07344951839915713,0.875,0.875,0,0.0010673999786376953,16,16.0,0.22148315951014613,target_sparsity_reached,2,2,0.0,1.0,False,,0,0,2.647687788330458,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.25,gOMP,64,256,gaussian,gaussian,20.0,0.04683775378342844,0.02574756616126467,0.16046048161857385,0.75,0.75,0,0.0003994000144302845,6,16.0,0.3052875303391147,target_sparsity_reached,4,4,0.0,3.0,False,,0,0,2.5802947351323273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.25,Improved-gOMP,64,256,gaussian,gaussian,20.0,0.04683775378342844,0.017646899645208488,0.13284163370422877,0.75,0.9230769230769231,0,0.0011758999899029732,5,13.0,0.3739975965048673,noise_floor,1,4,0.00010500004282221198,18.2,True,,0,0,2.228726669553975,0.0,0.0,0.0,0.0,1.0,0.0,1.0
4,0.25,RMP,64,256,gaussian,gaussian,20.0,0.04683775378342844,0.005394831753068122,0.07344951839915713,0.875,0.875,0,0.0008913999772630632,16,16.0,0.22148315951014608,target_sparsity_reached,2,2,0.00036979999276809394,1.0,False,,0,0,2.647687788330458,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.25,OMP,64,256,gaussian,gaussian,20.0,0.04652392200361911,0.01361338366265169,0.11667640576676885,0.75,0.75,0,0.0009382000134792179,16,16.0,0.2464437569732977,target_sparsity_reached,4,4,0.0,1.0,False,,0,0,2.8514195637358326,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.25,gOMP,64,256,gaussian,gaussian,20.0,0.04652392200361911,0.00947765409077145,0.09735324386363019,0.75,0.75,0,0.00037360002170316875,6,16.0,0.30230706156407017,target_sparsity_reached,4,4,0.0,3.0,False,,0,0,2.770980897772034,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.25,Improved-gOMP,64,256,gaussian,gaussian,20.0,0.04652392200361911,0.017899874758103614,0.1337904135508356,0.6875,0.8461538461538461,0,0.001053999993018806,5,13.0,0.38714731870753394,noise_floor,2,5,9.55999712459743e-05,18.2,True,,0,0,2.5071833928955805,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5,0.25,RMP,64,256,gaussian,gaussian,20.0,0.04652392200361911,0.013613383662651668,0.11667640576676876,0.75,0.75,0,0.0009125999931711704,16,16.0,0.24644375697329765,target_sparsity_reached,4,4,0.0003712001198437065,1.0,False,,0,0,2.8514195637358326,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.25,OMP,64,256,gaussian,gaussian,20.0,0.05000089431522952,0.029520465144757087,0.17181520638394346,0.75,0.75,0,0.0008596999978180975,16,16.0,0.3513721559822701,target_sparsity_reached,4,4,0.0,1.0,False,,0,0,2.9116086438864417,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.25,gOMP,64,256,gaussian,gaussian,20.0,0.05000089431522952,0.10558550654394028,0.32493923515626777,0.625,0.625,0,0.0007341000018641353,6,16.0,0.5945010122052292,target_sparsity_reached,6,6,0.0,3.0,False,,0,0,2.5639744275198444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.25,Improved-gOMP,64,256,gaussian,gaussian,20.0,0.05000089431522952,0.04459081295312586,0.2111653687353252,0.6875,0.6875,0,0.002064800006337464,6,16.0,0.44139115641562143,target_sparsity_reached,5,5,0.00019260001135990024,17.5,True,cholesky_solve,1,0,2.737171698241397,1.0,1.0,0.0,0.0,1.0,0.0,1.0
