trial,ablation_variant,algorithm,implementation,label,m,n,measurement_ratio,matrix_kind,coeff_mode,snr_db,noise_sigma,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,stop_reason,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,used_incremental_solver,fallback_reason,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver,peak_working_set_bytes,residual_bytes,x_hat_bytes,support_mask_bytes,solver_gram_bytes,solver_rhs_bytes,support_history_bytes,residual_history_bytes,support_size_history_bytes,candidate_size_history_bytes,group_size_history_bytes,support_condition_history_bytes,extra_array_bytes,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
1,full_suite,gOMP+IncrementalSolver,optimized,gOMP+IncrementalSolver (optimized),96,256,0.375,gaussian,gaussian,clean,0.0,1.5743137875320847e-20,1.254716616424635e-10,1.0,1.0,1,0.0013133660104358569,6,16.0,5.208567766632552e-10,residual_tol,0,0,0.00016390900418628007,0.0,True,,0,0,1.9585764851100715,1.0,1.0,0.0,0.0,1.0,0.0,1.0,5232.0,768.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0,3.168199327774346e-05,0.0006801560084568337,0.00027207101811654866,4.8798989155329764e-05,0.0001175829820567742
1,full_suite,gOMP+NoiseAwareStop,optimized,gOMP+NoiseAwareStop (optimized),96,256,0.375,gaussian,gaussian,clean,0.0,2.9140682672744548e-30,1.7070642247069835e-15,1.0,1.0,1,0.001434588004485704,6,16.0,8.755289445502244e-15,residual_tol,0,0,0.0002739020128501579,0.0,False,,0,0,1.9585764851100715,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3056.0,768.0,2048.0,0.0,0.0,0.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0,3.068099613301456e-05,0.0008286479860544205,0.00023338499886449426,4.5608976506628096e-05,0.00013811899407301098
1,full_suite,gOMP+Adaptive+Incremental,optimized,gOMP+Adaptive+Incremental (optimized),96,256,0.375,gaussian,gaussian,clean,0.0,1.5743137875320847e-20,1.254716616424635e-10,1.0,1.0,1,0.002181613992433995,6,16.0,5.208567766632552e-10,residual_tol,0,0,0.00018083499162457883,0.0,True,,0,0,1.9585764851100715,1.0,1.0,0.0,0.0,1.0,0.0,1.0,5232.0,768.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0,7.480102067347616e-05,0.0011779259948525578,0.000329747999785468,0.00018453100346960127,0.00013799800944980234
1,full_suite,gOMP+Adaptive+NoiseAware,optimized,gOMP+Adaptive+NoiseAware (optimized),96,256,0.375,gaussian,gaussian,clean,0.0,2.9140682672744548e-30,1.7070642247069835e-15,1.0,1.0,1,0.002018061000853777,6,16.0,8.755289445502244e-15,residual_tol,0,0,0.0004168479790678248,0.0,False,,0,0,1.9585764851100715,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3056.0,768.0,2048.0,0.0,0.0,0.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0,4.474101297091693e-05,0.0010678370017558336,0.00037402698944788426,8.787697879597545e-05,0.00022904700017534196
1,full_suite,gOMP+Incremental+NoiseAware,optimized,gOMP+Incremental+NoiseAware (optimized),96,256,0.375,gaussian,gaussian,clean,0.0,1.5743137875320847e-20,1.254716616424635e-10,1.0,1.0,1,0.0015517780120717362,6,16.0,5.208567766632552e-10,residual_tol,0,0,0.0001735680125420913,0.0,True,,0,0,1.9585764851100715,1.0,1.0,0.0,0.0,1.0,0.0,1.0,5232.0,768.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0,3.202799416612834e-05,0.0008058610110310838,0.0002978919947054237,4.95309941470623e-05,0.00013038900215178728
1,full_suite,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,clean,0.0,1.5743137875320847e-20,1.254716616424635e-10,1.0,1.0,1,0.0013630909961648285,6,16.0,5.208567766632552e-10,residual_tol,0,0,0.0001388660166412592,0.0,True,,0,0,1.9585764851100715,1.0,1.0,0.0,0.0,1.0,0.0,1.0,5232.0,768.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0,2.857201616279781e-05,0.000681229998008348,0.00023688600049354136,4.0403014281764627e-05,0.00021141397883184254
2,full_suite,gOMP,optimized,gOMP (optimized),96,256,0.375,gaussian,gaussian,clean,0.0,2.87180189429247e-06,0.0016946391634482163,0.9375,0.9375,0,0.00026111400802619755,6,16.0,0.005190630671034715,target_sparsity_reached,1,1,8.612799865659326e-05,3.0,True,,0,0,2.130514059488469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1216.0,768.0,0.0,256.0,0.0,0.0,128.0,56.0,0.0,0.0,0.0,8.0,0.0,2.4452005163766444e-05,5.8143981732428074e-05,8.612799865659326e-05,2.9454007744789124e-05,0.0
2,full_suite,gOMP+AdaptiveScreen,optimized,gOMP+AdaptiveScreen (optimized),96,256,0.375,gaussian,gaussian,clean,0.0,1.5968865688629666e-30,1.2636797730687022e-15,1.0,1.0,1,0.001647937999223359,7,16.0,4.169166713185297e-15,residual_tol,0,0,0.0003116180159850046,0.0,False,,0,0,2.1880186269650417,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3072.0,768.0,2048.0,0.0,0.0,0.0,128.0,64.0,56.0,0.0,0.0,8.0,0.0,2.895800571423024e-05,0.0007523439999204129,0.0002572789671830833,4.8596994020044804e-05,0.00040259001252707094
2,full_suite,gOMP+IncrementalSolver,optimized,gOMP+IncrementalSolver (optimized),96,256,0.375,gaussian,gaussian,clean,0.0,1.1331243510237854e-20,1.0644831379706235e-10,1.0,1.0,1,0.0015384099970106035,7,16.0,3.9510702937098136e-10,residual_tol,0,0,0.00017015598132275045,0.0,True,,0,0,2.1880186269650417,1.0,1.0,0.0,0.0,1.0,0.0,1.0,5248.0,768.0,2048.0,0.0,2048.0,128.0,128.0,64.0,56.0,0.0,0.0,8.0,0.0,2.8713009669445455e-05,0.0006849760102340952,0.000271610013442114,4.594498022925109e-05,0.0003491099923849106
2,full_suite,gOMP+NoiseAwareStop,optimized,gOMP+NoiseAwareStop (optimized),96,256,0.375,gaussian,gaussian,clean,0.0,1.5968865688629666e-30,1.2636797730687022e-15,1.0,1.0,1,0.0013606440043076873,7,16.0,4.169166713185297e-15,residual_tol,0,0,0.00025987098342739046,0.0,False,,0,0,2.1880186269650417,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3072.0,768.0,2048.0,0.0,0.0,0.0,128.0,64.0,56.0,0.0,0.0,8.0,0.0,2.630199014674872e-05,0.0006176780152600259,0.00022484797227662057,3.922100586351007e-05,0.00030884701118338853
