trial,matrix_kind,algorithm,implementation,label,m,n,measurement_ratio,coeff_mode,snr_db,noise_sigma,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,stop_reason,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,used_incremental_solver,fallback_reason,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver,peak_working_set_bytes,residual_bytes,x_hat_bytes,support_mask_bytes,solver_gram_bytes,solver_rhs_bytes,support_history_bytes,residual_history_bytes,support_size_history_bytes,candidate_size_history_bytes,group_size_history_bytes,support_condition_history_bytes,extra_array_bytes,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
1,gaussian,Improved-gOMP,baseline,Improved-gOMP (baseline),96,256,0.375,gaussian,20.0,0.0414958260530361,0.004238202731474007,0.06510148025562865,0.875,0.875,0,0.0025536169996485114,6,16.0,0.40380076547499827,target_sparsity_reached,2,2,0.00024164802744053304,17.666666666666668,False,,0,0,2.2174982697047723,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3528.0,768.0,2048.0,0.0,0.0,0.0,464.0,56.0,48.0,48.0,48.0,48.0,0.0,3.0445007723756135e-05,0.0017577110120328143,0.00018479001300875098,3.9915990782901645e-05,0.00017783000657800585
1,gaussian,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,20.0,0.0414958260530361,0.0059093287992303175,0.07687215880427918,0.8125,1.0,0,0.0009060960001079366,5,13.0,0.43911596152501786,noise_floor,0,3,0.00010319502325728536,0.0,True,,0,0,1.8289267851257753,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4472.0,768.0,2048.0,0.0,1352.0,104.0,104.0,48.0,40.0,0.0,0.0,8.0,0.0,2.052899799309671e-05,0.0005166690098121762,0.00021025499154347926,3.270801971666515e-05,2.553002559579909e-06
2,gaussian,OMP,baseline,OMP (baseline),96,256,0.375,gaussian,20.0,0.04067853253056279,0.002475063709573121,0.0497500121565123,0.875,0.875,0,0.0011703060008585453,16,16.0,0.2896758426714532,target_sparsity_reached,2,2,0.00045564700849354267,1.0,False,,0,0,1.9922992178069585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4168.0,768.0,2048.0,0.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,128.0,0.0,7.504201494157314e-05,0.0001171920303022489,0.00045564700849354267,0.00011366601393092424,0.0
2,gaussian,OMP,optimized,OMP (optimized),96,256,0.375,gaussian,20.0,0.04067853253056279,0.002475063715503415,0.04975001221611323,0.875,0.875,0,0.0007428609969792888,16,16.0,0.289675842671453,target_sparsity_reached,2,2,0.0002849430020432919,1.0,True,,0,0,1.9922992178069585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3472.0,768.0,0.0,256.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0,7.618697418365628e-05,3.493799886200577e-05,0.0002849430020432919,0.00010066201502922922,0.00014832404849585146
2,gaussian,gOMP,baseline,gOMP (baseline),96,256,0.375,gaussian,20.0,0.04067853253056279,0.002253036541685403,0.04746616207031493,0.875,0.875,0,0.0006642179941991344,6,16.0,0.29312664105648795,target_sparsity_reached,2,2,0.0002578899875516072,3.0,False,,0,0,2.013038041726087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3664.0,768.0,2048.0,256.0,0.0,0.0,488.0,56.0,0.0,0.0,0.0,48.0,0.0,3.707701398525387e-05,8.762000652495772e-05,0.0002578899875516072,4.6455999836325645e-05,0.0
2,gaussian,gOMP,optimized,gOMP (optimized),96,256,0.375,gaussian,20.0,0.04067853253056279,0.002253036549302446,0.04746616215055148,0.875,0.875,0,0.00030085298931226134,6,16.0,0.2931266410564879,target_sparsity_reached,2,2,0.00010691600618883967,3.0,True,,0,0,2.013038041726087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1216.0,768.0,0.0,256.0,0.0,0.0,128.0,56.0,0.0,0.0,0.0,8.0,0.0,2.7421003323979676e-05,7.365801138803363e-05,0.00010691600618883967,3.387097967788577e-05,0.0
2,gaussian,Improved-gOMP,baseline,Improved-gOMP (baseline),96,256,0.375,gaussian,20.0,0.04067853253056279,0.006196803936995502,0.07871978110357969,0.6875,0.8461538461538461,0,0.0019764610042329878,5,13.0,0.3877006293945905,noise_floor,2,5,0.00012776500079780817,19.0,False,,0,0,1.9017974742175037,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3360.0,768.0,2048.0,0.0,0.0,0.0,336.0,48.0,40.0,40.0,40.0,40.0,0.0,2.8811991796828806e-05,0.0014885240088915452,0.00013404400669969618,3.266400017309934e-05,4.6639906940981746e-06
2,gaussian,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,20.0,0.04067853253056279,0.0041609751429038415,0.06450562101789147,0.75,1.0,0,0.001045958008035086,5,12.0,0.3774296264258973,noise_floor,0,4,0.00012067500210832804,0.0,True,,0,0,1.7555884066283651,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4256.0,768.0,2048.0,0.0,1152.0,96.0,96.0,48.0,40.0,0.0,0.0,8.0,0.0,2.523999137338251e-05,0.0005545289895962924,0.0002552189980633557,4.1004997910931706e-05,2.724016667343676e-06
3,gaussian,OMP,baseline,OMP (baseline),96,256,0.375,gaussian,20.0,0.040772808862278694,0.003914928172612933,0.06256938686460763,0.9375,0.9375,0,0.0011052429908886552,16,16.0,0.3629602510456497,target_sparsity_reached,1,1,0.000446854013716802,1.0,False,,0,0,1.9277232067047885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4168.0,768.0,2048.0,0.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,128.0,0.0,6.99090160196647e-05,0.00011882597755175084,0.000446854013716802,0.00010164796549361199,0.0
3,gaussian,OMP,optimized,OMP (optimized),96,256,0.375,gaussian,20.0,0.040772808862278694,0.003914928170535842,0.06256938684800932,0.9375,0.9375,0,0.001407229996402748,16,16.0,0.3629602510456497,target_sparsity_reached,1,1,0.0004191950138192624,1.0,True,,0,0,1.9277232067047885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3472.0,768.0,0.0,256.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0,0.00013298603880684823,4.258901753928512e-05,0.0004191950138192624,0.00040291703771799803,0.0002860580134438351
