n,trial,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
128,0,gOMP,baseline,0.00043730000106734224,1.798200173652731e-05,5.626999700325541e-05,0.00017471399769419804,3.0437000532401726e-05,0.0
128,0,gOMP,optimized,0.00023670799782848917,1.6886995581444353e-05,4.443600118975155e-05,9.318799857283011e-05,3.040400770260021e-05,0.0
128,1,gOMP,baseline,0.00041059399882215075,1.689000055193901e-05,4.871199416811578e-05,0.00016952700025285594,2.8618003852898255e-05,0.0
128,1,gOMP,optimized,0.00021341899991966784,1.598800008650869e-05,3.9847003790782765e-05,8.065699512371793e-05,2.8371992812026292e-05,0.0
128,2,gOMP,baseline,0.00045454099745256826,1.7657999705988914e-05,5.8001001889351755e-05,0.00018488099885871634,2.980199860758148e-05,0.0
128,2,gOMP,optimized,0.0002563800007919781,1.6750003851484507e-05,4.6748999011470005e-05,0.0001055430038832128,3.393700171727687e-05,0.0
128,3,gOMP,baseline,0.0004969289984728675,2.0606999896699563e-05,6.0884001868544146e-05,0.00019448500461294316,5.2926996431779116e-05,0.0
128,3,gOMP,optimized,0.0002283789981447626,1.8570000975159928e-05,4.343300315667875e-05,8.567300028516911e-05,3.0480998248094693e-05,0.0
128,4,gOMP,baseline,0.00040923800042946823,1.6931000573094934e-05,5.000099918106571e-05,0.00017085399667848833,2.8046004445059225e-05,0.0
128,4,gOMP,optimized,0.00019922899809898809,1.4495995856123045e-05,3.746100628632121e-05,7.601000106660649e-05,2.6457997591933236e-05,0.0
128,5,gOMP,baseline,0.00040697899748920463,1.778299338184297e-05,4.938699566992e-05,0.00016844999845488928,2.768400008790195e-05,0.0
128,5,gOMP,optimized,0.00020794300144189037,1.627499659662135e-05,3.9262005884665996e-05,7.520700455643237e-05,2.620299710542895e-05,0.0
128,6,gOMP,baseline,0.0004250530000717845,1.758199869072996e-05,5.343599696061574e-05,0.0001793769988580607,2.8502996428869665e-05,0.0
128,6,gOMP,optimized,0.0001995150014408864,1.4728000678587705e-05,3.711899626068771e-05,7.671799539821222e-05,2.664199928403832e-05,0.0
128,7,gOMP,baseline,0.0004237809989717789,1.7885999113786966e-05,4.841100235353224e-05,0.0001677049986028578,2.9390001145657152e-05,0.0
128,7,gOMP,optimized,0.00020864000180154108,1.7172995285363868e-05,4.119999721297063e-05,7.658300455659628e-05,2.692300040507689e-05,0.0
128,8,gOMP,baseline,0.00040696499854675494,1.661600254010409e-05,5.047399827162735e-05,0.00016854799832799472,2.7512996894074604e-05,0.0
128,8,gOMP,optimized,0.0002367670022067614,1.4776007446926087e-05,3.8387002859963104e-05,7.65410004532896e-05,2.7553000109037384e-05,0.0
128,9,gOMP,baseline,0.00042670399852795526,1.8801998521666974e-05,5.179200161364861e-05,0.0001778070000000298,3.127799936919473e-05,0.0
128,9,gOMP,optimized,0.0002039620012510568,1.7194000974996015e-05,3.739200110430829e-05,7.780600208207034e-05,2.6622994482750073e-05,0.0
128,10,gOMP,baseline,0.00043857899800059386,1.758299913490191e-05,5.384200267144479e-05,0.00018112400357495062,3.278499934822321e-05,0.0
128,10,gOMP,optimized,0.00020950900216121227,1.7037003999575973e-05,3.8163001590874046e-05,7.952399391797371e-05,2.71560056717135e-05,0.0
128,11,gOMP,baseline,0.00042871999903582036,1.8244005332235247e-05,5.306999810272828e-05,0.00017577300241100602,3.03250017168466e-05,0.0
128,11,gOMP,optimized,0.00020693899932666682,1.6778005374362692e-05,3.909699807991274e-05,7.764800466247834e-05,2.757699621724896e-05,0.0
128,12,gOMP,baseline,0.00046549800026696175,1.9441999029368162e-05,6.932199175935239e-05,0.00018251899746246636,3.321200347272679e-05,0.0
128,12,gOMP,optimized,0.00019708600302692503,1.4586996258003637e-05,3.7659003282897174e-05,7.462099893018603e-05,2.6179997803410515e-05,0.0
128,13,gOMP,baseline,0.0004698530028690584,2.169800063711591e-05,5.950999548076652e-05,0.0001992069992411416,3.354599539306946e-05,0.0
128,13,gOMP,optimized,0.00021248100165394135,1.640498885535635e-05,3.7527996028074995e-05,7.890599954407662e-05,2.9336995794437826e-05,0.0
128,14,gOMP,baseline,0.00042633500197553076,1.6330992366420105e-05,5.3071002184879035e-05,0.000180736999027431,3.1317998946178705e-05,0.0
128,14,gOMP,optimized,0.00020004299949505366,1.4135002857074142e-05,3.7455003621289507e-05,7.60789989726618e-05,2.7109996153740212e-05,0.0
