measurement_ratio,trial,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
0.1875,0,Improved-gOMP,baseline,0.0016704059999028686,1.980700108106248e-05,0.0011732089988072403,0.0001056099972629454,8.679599704919383e-05,3.646990080596879e-06
0.1875,0,Improved-gOMP,optimized,0.0008116850003716536,1.6269001207547262e-05,0.0004686650063376874,0.0001904500022646971,2.6612000510795042e-05,2.4129985831677914e-06
0.1875,1,Improved-gOMP,baseline,0.002519616002246039,2.3892003810033202e-05,0.0016048789948399644,0.00016024499927880242,8.520300252712332e-05,0.00032181900678551756
0.1875,1,Improved-gOMP,optimized,0.0009553199997753836,1.680600325926207e-05,0.00047502899906248786,0.00020606699763447978,2.6578996767057106e-05,0.00010731099609984085
0.1875,2,Improved-gOMP,baseline,0.002473524000379257,2.164400211768225e-05,0.0016417279985034838,0.00015762399925733916,2.9272996471263468e-05,0.0003174560006300453
0.1875,2,Improved-gOMP,optimized,0.0014506640000035986,2.0925999706378207e-05,0.0005611179949482903,0.00021416899835458025,6.139100878499448e-05,0.00036333000025479123
0.1875,3,Improved-gOMP,baseline,0.0023084730019036215,2.3402997612720355e-05,0.001690598001005128,0.00014432899843086489,3.028900027857162e-05,0.0001281689983443357
0.1875,3,Improved-gOMP,optimized,0.0013642720005009323,2.1358999219955876e-05,0.0007947430021886248,0.00025327899857074954,3.7366004107752815e-05,0.00011216200437047519
0.1875,4,Improved-gOMP,baseline,0.002648079000209691,2.1329993614926934e-05,0.0018750179988273885,0.00014139600170892663,2.7900998247787356e-05,0.00030424199940171093
0.1875,4,Improved-gOMP,optimized,0.0012859389971708879,1.8472997908247635e-05,0.0005209800001466647,0.00020290400061639957,2.825499905156903e-05,0.00038488800782943144
0.1875,5,Improved-gOMP,baseline,0.0019522789989423472,2.1197000023676082e-05,0.0013105949947203044,0.00013387500439421274,6.867899719509296e-05,0.00013788099749945104
0.1875,5,Improved-gOMP,optimized,0.0018636870008776896,2.3849006538512185e-05,0.000749099999666214,0.0003937249966838863,4.011599958175793e-05,0.0004635029981727712
0.1875,6,Improved-gOMP,baseline,0.002549668002757244,2.6966004952555522e-05,0.001669626002694713,0.00018582499978947453,3.731399920070544e-05,0.00032771299811429344
0.1875,6,Improved-gOMP,optimized,0.0013262440006656107,2.0024999685119838e-05,0.0005191240052226931,0.00020464199405978434,3.0404000426642597e-05,0.0004228529978718143
0.1875,7,Improved-gOMP,baseline,0.002534720999392448,2.2077001631259918e-05,0.0018447550064593088,0.00016029699327191338,4.21920012740884e-05,0.00015913299648673274
