measurement_ratio,trial,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
0.1875,0,RMP,baseline,0.0009442000009585172,4.377098230179399e-05,3.8554033380933106e-05,0.00037583203811664134,0.0001416849554516375,0.0
0.1875,0,RMP,optimized,0.0017059940000763163,0.00013991199375595897,9.882698941510171e-05,0.0004113719769520685,0.00041383398638572544,0.000431181033491157
0.1875,1,RMP,baseline,0.0009832999930949882,4.3107953388243914e-05,3.610497515182942e-05,0.0003931259998353198,0.00014189201465342194,0.0
0.1875,1,RMP,optimized,0.0008339210035046563,4.1817009332589805e-05,3.585699596442282e-05,0.00019102197256870568,0.00017779701738618314,0.00028446101350709796
0.1875,2,RMP,baseline,0.0016059290064731613,5.4234027629718184e-05,5.905998114030808e-05,0.0005070659535704181,0.0002454070345265791,0.0
0.1875,2,RMP,optimized,0.0019918400066671893,0.00013808700896333903,0.00011214699770789593,0.0004158219526289031,0.0005363570089684799,0.000514089988428168
0.1875,3,RMP,baseline,0.002307579998159781,0.00010255501547362655,9.201398643199354e-05,0.000792188016930595,0.00038812996353954077,0.0
0.1875,3,RMP,optimized,0.001518489996669814,0.00010944799578282982,0.00010111198935192078,0.00033212000562343746,0.00042737199692055583,0.000352070972439833
0.1875,4,RMP,baseline,0.0019669979956233874,7.416895823553205e-05,7.433800783473998e-05,0.0007384089840343222,0.00029366400849539787,0.0
0.1875,4,RMP,optimized,0.0009399749978911132,6.249899161048234e-05,7.407399243675172e-05,0.00022955700114835054,0.00022972901933826506,0.00020502298139035702
0.1875,5,RMP,baseline,0.001111600999138318,4.4828979298472404e-05,4.66330093331635e-05,0.00042964599560946226,0.00018911999359261245,0.0
0.1875,5,RMP,optimized,0.000559382009669207,3.782298881560564e-05,3.134900180157274e-05,0.00013602197577711195,0.00014941800327505916,0.00011685599747579545
0.1875,6,RMP,baseline,0.001345530996331945,5.795602919533849e-05,8.051400072872639e-05,0.0005158960120752454,0.0001994800113607198,0.0
0.1875,6,RMP,optimized,0.0006165400118334219,5.1583017921075225e-05,3.483197360765189e-05,0.0001432530116289854,0.00014907101285643876,0.0001284210302401334
0.1875,7,RMP,baseline,0.0011324759980197996,4.5670021791011095e-05,4.2077022953890264e-05,0.0004214129876345396,0.00019465001241769642,0.0
0.1875,7,RMP,optimized,0.0007918229966890067,4.474096931517124e-05,4.807807272300124e-05,0.00013967600534670055,0.00016691199562046677,0.00013460498303174973
0.1875,8,RMP,baseline,0.0011087410093750805,4.77130088256672e-05,4.622498818207532e-05,0.0004494939494179562,0.00016596095520071685,0.0
0.1875,8,RMP,optimized,0.0005528609908651561,4.0781000279821455e-05,3.7353005609475076e-05,0.0001274330134037882,0.0001442019856767729,0.00012043702008668333
0.1875,9,RMP,baseline,0.0013901490019634366,4.7708977945148945e-05,5.057101952843368e-05,0.0005767460243077949,0.0002166730264434591,0.0
0.1875,9,RMP,optimized,0.0005233339907135814,3.837599069811404e-05,3.127301170025021e-05,0.0001254319940926507,0.0001286019542021677,0.00011397400521673262
0.1875,10,RMP,baseline,0.0012163990031694993,5.040201358497143e-05,4.776098649017513e-05,0.0004959609941579401,0.00019222605624236166,0.0
0.1875,10,RMP,optimized,0.0005439520027721301,3.909398219548166e-05,3.1065967050381005e-05,0.0001367410586681217,0.00013045794912613928,0.0001221759885083884
0.1875,11,RMP,baseline,0.0009842809959081933,4.307397466618568e-05,3.38820245815441e-05,0.0003626529942266643,0.0001480930222896859,0.0
0.1875,11,RMP,optimized,0.0005050549953011796,4.0874016121961176e-05,2.953101648017764e-05,0.0001235190429724753,0.00012832198990508914,0.0001086139673134312
