trial,snr_db,algorithm,implementation,label,m,n,measurement_ratio,matrix_kind,coeff_mode,noise_sigma,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,stop_reason,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,used_incremental_solver,fallback_reason,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver,peak_working_set_bytes,residual_bytes,x_hat_bytes,support_mask_bytes,solver_gram_bytes,solver_rhs_bytes,support_history_bytes,residual_history_bytes,support_size_history_bytes,candidate_size_history_bytes,group_size_history_bytes,support_condition_history_bytes,extra_array_bytes,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
1,5.0,gOMP,baseline,gOMP (baseline),96,256,0.375,gaussian,gaussian,0.25632241747344037,0.6501393008577174,0.8063121609263483,0.3125,0.3125,0,0.00044880899804411456,6,16.0,1.9345336158772053,target_sparsity_reached,11,11,0.00017655200281296857,3.0,False,,0,0,1.9956927019803195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3664.0,768.0,2048.0,256.0,0.0,0.0,488.0,56.0,0.0,0.0,0.0,48.0,0.0,2.2641001123702154e-05,6.017499981680885e-05,0.00017655200281296857,3.4562999644549564e-05,0.0
1,5.0,gOMP,optimized,gOMP (optimized),96,256,0.375,gaussian,gaussian,0.25632241747344037,0.6501393006998297,0.8063121608284409,0.3125,0.3125,0,0.00022514800002682023,6,16.0,1.9345336158772053,target_sparsity_reached,11,11,8.29170057841111e-05,3.0,True,,0,0,1.9956927019803195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1216.0,768.0,0.0,256.0,0.0,0.0,128.0,56.0,0.0,0.0,0.0,8.0,0.0,2.037199737969786e-05,4.5541004510596395e-05,8.29170057841111e-05,2.81590037047863e-05,0.0
1,5.0,Improved-gOMP,baseline,Improved-gOMP (baseline),96,256,0.375,gaussian,gaussian,0.25632241747344037,0.5996297487191194,0.7743576361857094,0.25,0.3333333333333333,0,0.001348312998743495,4,12.0,2.4644168777043567,noise_floor,8,12,8.974500451586209e-05,20.5,False,,0,0,1.7233743514362947,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3224.0,768.0,2048.0,0.0,0.0,0.0,240.0,40.0,32.0,32.0,32.0,32.0,0.0,1.6860001778695732e-05,0.0010207239902229048,9.47720036492683e-05,2.3511001927545294e-05,2.154003595933318e-06
1,5.0,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,0.25632241747344037,0.40002429020755226,0.6324747348373311,0.3125,0.5555555555555556,0,0.0004951600021740887,3,9.0,2.4843905424568007,noise_floor,4,11,5.542500002775341e-05,0.0,True,,0,0,1.6963958269705364,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3672.0,768.0,2048.0,0.0,648.0,72.0,72.0,32.0,24.0,0.0,0.0,8.0,0.0,1.1337000614730641e-05,0.0002728019971982576,0.00011722399722202681,1.752200478222221e-05,1.5410005289595574e-06
1,5.0,RMP,baseline,RMP (baseline),96,256,0.375,gaussian,gaussian,0.25632241747344037,0.3116105659058664,0.5582208934694817,0.5,0.5,0,0.0009591279995220248,16,16.0,2.0055512108232647,target_sparsity_reached,8,8,0.00038516000859090127,1.0,False,,0,0,1.9832841614118861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4304.0,768.0,2048.0,256.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,8.0,0.0,4.884699228568934e-05,3.298200317658484e-05,0.0003797799981839489,0.00013698700422537513,0.0
1,5.0,RMP,optimized,RMP (optimized),96,256,0.375,gaussian,gaussian,0.25632241747344037,0.3116105658462093,0.5582208934160466,0.5,0.5,0,0.000430073996540159,16,16.0,2.005551210961315,target_sparsity_reached,8,8,9.854300515144132e-05,1.0,True,,0,0,1.9832841614118861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3472.0,768.0,0.0,256.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0,3.721499160747044e-05,2.5952005671570078e-05,9.854300515144132e-05,0.00010972098971251398,9.463500100537203e-05
2,5.0,OMP,baseline,OMP (baseline),96,256,0.375,gaussian,gaussian,0.19422810672558422,0.32694206930027986,0.5717884830077289,0.5625,0.5625,0,0.001082277998648351,16,16.0,1.3443726808555976,target_sparsity_reached,7,7,0.0004362110012152698,1.0,False,,0,0,2.1876077519617994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4168.0,768.0,2048.0,0.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,128.0,0.0,6.8710000050487e-05,0.00010327299605705775,0.0004362110012152698,0.00011854401236632839,0.0
2,5.0,OMP,optimized,OMP (optimized),96,256,0.375,gaussian,gaussian,0.19422810672558422,0.3269420692571419,0.571788482970007,0.5625,0.5625,0,0.0005190409974602517,16,16.0,1.3443726808555976,target_sparsity_reached,7,7,0.0002084340012515895,1.0,True,,0,0,2.1876077519617994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3472.0,768.0,0.0,256.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0,5.030100146541372e-05,1.9711991626536474e-05,0.0002084340012515895,7.091199950082228e-05,0.00010649199612089433
2,5.0,gOMP,baseline,gOMP (baseline),96,256,0.375,gaussian,gaussian,0.19422810672558422,0.2023134557802607,0.44979268088782937,0.625,0.625,0,0.00045335499817156233,6,16.0,1.4423558903394669,target_sparsity_reached,6,6,0.0001846450031735003,3.0,False,,0,0,2.2068843834519165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3664.0,768.0,2048.0,256.0,0.0,0.0,488.0,56.0,0.0,0.0,0.0,48.0,0.0,2.141299773938954e-05,5.972299913992174e-05,0.0001846450031735003,3.773600110434927e-05,0.0
2,5.0,gOMP,optimized,gOMP (optimized),96,256,0.375,gaussian,gaussian,0.19422810672558422,0.20231345573259193,0.44979268083483964,0.625,0.625,0,0.00020945399955962785,6,16.0,1.4423558903394667,target_sparsity_reached,6,6,7.516000187024474e-05,3.0,True,,0,0,2.2068843834519165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1216.0,768.0,0.0,256.0,0.0,0.0,128.0,56.0,0.0,0.0,0.0,8.0,0.0,1.9773997337324545e-05,4.356600402388722e-05,7.516000187024474e-05,2.5516997993690893e-05,0.0
2,5.0,Improved-gOMP,baseline,Improved-gOMP (baseline),96,256,0.375,gaussian,gaussian,0.19422810672558422,0.29429100210842923,0.5424859464616841,0.4375,0.7777777777777778,0,0.0007935400026326533,3,9.0,1.8473887345149766,noise_floor,2,9,5.389800207922235e-05,20.0,False,,0,0,1.8107585495181764,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3088.0,768.0,2048.0,0.0,0.0,0.0,144.0,32.0,24.0,24.0,24.0,24.0,0.0,1.1883003026014194e-05,0.0005955730011919513,5.6852000852813944e-05,1.657299799262546e-05,1.5259975043591112e-06
2,5.0,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,0.19422810672558422,0.23694210438964922,0.48676699188590145,0.4375,0.7777777777777778,0,0.00049583800137043,3,9.0,1.973435793020256,noise_floor,2,9,6.176000169944018e-05,0.0,True,,0,0,1.6764565344598525,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3672.0,768.0,2048.0,0.0,648.0,72.0,72.0,32.0,24.0,0.0,0.0,8.0,0.0,1.1024003470083699e-05,0.0002693560018087737,0.0001232169997820165,1.7868002032628283e-05,1.4750039554201066e-06
2,5.0,RMP,baseline,RMP (baseline),96,256,0.375,gaussian,gaussian,0.19422810672558422,0.21623906028606477,0.4650151183413984,0.625,0.625,0,0.0009241360021405853,16,16.0,1.5174904747856481,target_sparsity_reached,6,6,0.00037917099325568415,1.0,False,,0,0,2.186388267348537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4304.0,768.0,2048.0,256.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,8.0,0.0,4.34709909313824e-05,3.1003997719381005e-05,0.0003741910004464444,0.00013341300291358493,0.0
2,5.0,RMP,optimized,RMP (optimized),96,256,0.375,gaussian,gaussian,0.19422810672558422,0.21623906031521972,0.4650151183727468,0.625,0.625,0,0.0005198299986659549,16,16.0,1.5174904748735392,target_sparsity_reached,6,6,0.00012178600081824698,1.0,True,,0,0,2.186388267348537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3472.0,768.0,0.0,256.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0,4.272600926924497e-05,2.470500476192683e-05,0.00012178600081824698,0.00012546499783638865,0.00010667301103239879
3,5.0,OMP,baseline,OMP (baseline),96,256,0.375,gaussian,gaussian,0.13004540381565785,0.46054187294966,0.6786323547766199,0.4375,0.4375,0,0.001813306000258308,16,16.0,0.9813011869104602,target_sparsity_reached,9,9,0.0006677730088995304,1.0,False,,0,0,1.9161300002833288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4168.0,768.0,2048.0,0.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,128.0,0.0,9.819700790103525e-05,0.00015937199714244343,0.0006677730088995304,0.00017330100308754481,0.0
3,5.0,OMP,optimized,OMP (optimized),96,256,0.375,gaussian,gaussian,0.13004540381565785,0.4605418729152481,0.6786323547512659,0.4375,0.4375,0,0.0005348900012904778,16,16.0,0.9813011869104602,target_sparsity_reached,9,9,0.00020889098959742114,1.0,True,,0,0,1.9161300002833288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3472.0,768.0,0.0,256.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0,5.938500180491246e-05,2.0818995835725218e-05,0.00020889098959742114,7.39940041967202e-05,0.00010863799252547324
3,5.0,gOMP,baseline,gOMP (baseline),96,256,0.375,gaussian,gaussian,0.13004540381565785,0.5330992733488158,0.7301364758377819,0.4375,0.4375,0,0.0007668329999432899,6,16.0,1.0900913760500488,target_sparsity_reached,9,9,0.0002951990027213469,3.0,False,,0,0,2.0971609595713105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3664.0,768.0,2048.0,256.0,0.0,0.0,488.0,56.0,0.0,0.0,0.0,48.0,0.0,3.800499689532444e-05,9.038200369104743e-05,0.0002951990027213469,8.018599328352138e-05,0.0
