trial,k,algorithm,implementation,label,m,n,measurement_ratio,matrix_kind,coeff_mode,snr_db,noise_sigma,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,stop_reason,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,used_incremental_solver,fallback_reason,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver,peak_working_set_bytes,residual_bytes,x_hat_bytes,support_mask_bytes,solver_gram_bytes,solver_rhs_bytes,support_history_bytes,residual_history_bytes,support_size_history_bytes,candidate_size_history_bytes,group_size_history_bytes,support_condition_history_bytes,extra_array_bytes,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
1,4,Improved-gOMP,baseline,Improved-gOMP (baseline),96,256,0.375,gaussian,gaussian,clean,0.0,0.01306923928757578,0.11432077364843093,0.75,0.75,0,0.0007559180085081607,2,4.0,0.3077655774133163,target_sparsity_reached,1,1,4.17420087615028e-05,12.5,False,,0,0,1.4148049477093285,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2952.0,768.0,2048.0,0.0,0.0,0.0,48.0,24.0,16.0,16.0,16.0,16.0,0.0,8.090006303973496e-06,0.0004917049955110997,2.683699131011963e-05,1.0896008461713791e-05,0.00011192698730155826
1,4,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,clean,0.0,0.013005285858408062,0.11404072017664596,0.75,0.75,0,0.0004057990008732304,2,4.0,0.3093672267330571,target_sparsity_reached,1,1,3.6169003578834236e-05,0.0,True,,0,0,1.431224820961295,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3056.0,768.0,2048.0,0.0,128.0,32.0,32.0,24.0,16.0,0.0,0.0,8.0,0.0,7.213006028905511e-06,0.00012566900113597512,6.614498852286488e-05,1.1088006431236863e-05,0.0001451519929105416
2,4,OMP,baseline,OMP (baseline),96,256,0.375,gaussian,gaussian,clean,0.0,7.533467477608811e-32,2.7447162836272915e-16,1.0,1.0,1,0.0001807670050766319,4,4.0,5.352670878442924e-16,target_sparsity_reached,0,0,5.578900163527578e-05,1.0,False,,0,0,1.2334146377274446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2968.0,768.0,2048.0,0.0,0.0,0.0,80.0,40.0,0.0,0.0,0.0,32.0,0.0,1.600199902895838e-05,2.5825007469393313e-05,5.578900163527578e-05,2.1725005353800952e-05,0.0
2,4,OMP,optimized,OMP (optimized),96,256,0.375,gaussian,gaussian,clean,0.0,1.0130605068186625e-20,1.0065090694169936e-10,1.0,1.0,1,0.0001522189995739609,4,4.0,1.72637260355628e-10,target_sparsity_reached,0,0,5.3979005315341055e-05,1.0,True,,0,0,1.2334146377274446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1264.0,768.0,0.0,256.0,128.0,32.0,32.0,40.0,0.0,0.0,0.0,8.0,0.0,1.6635996871627867e-05,7.265989552251995e-06,5.3979005315341055e-05,1.765202614478767e-05,2.6738998712971807e-05
2,4,gOMP,baseline,gOMP (baseline),96,256,0.375,gaussian,gaussian,clean,0.0,7.533467477608811e-32,2.7447162836272915e-16,1.0,1.0,1,0.00011748699762392789,2,4.0,5.352670878442924e-16,target_sparsity_reached,0,0,3.5286007914692163e-05,3.0,False,,0,0,1.2334146377274446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3168.0,768.0,2048.0,256.0,0.0,0.0,56.0,24.0,0.0,0.0,0.0,16.0,0.0,8.267990779131651e-06,2.754901652224362e-05,3.5286007914692163e-05,1.1350988643243909e-05,0.0
2,4,gOMP,optimized,gOMP (optimized),96,256,0.375,gaussian,gaussian,clean,0.0,1.0130618734041108e-20,1.0065097482906515e-10,1.0,1.0,1,7.640999683644623e-05,2,4.0,1.7263728170464217e-10,target_sparsity_reached,0,0,2.328300615772605e-05,3.0,True,,0,0,1.2334146377274446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1088.0,768.0,0.0,256.0,0.0,0.0,32.0,24.0,0.0,0.0,0.0,8.0,0.0,7.333015673793852e-06,1.673299993854016e-05,2.328300615772605e-05,7.652997737750411e-06,0.0
2,4,Improved-gOMP,baseline,Improved-gOMP (baseline),96,256,0.375,gaussian,gaussian,clean,0.0,7.533467477608811e-32,2.7447162836272915e-16,1.0,1.0,1,0.0006271190068218857,2,4.0,5.352670878442924e-16,residual_tol,0,0,3.716400533448905e-05,11.5,False,,0,0,1.2334146377274446,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2952.0,768.0,2048.0,0.0,0.0,0.0,48.0,24.0,16.0,16.0,16.0,16.0,0.0,7.782989996485412e-06,0.0004064210079377517,2.387100539635867e-05,9.934010449796915e-06,9.513300028629601e-05
2,4,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,clean,0.0,7.533467477608811e-32,2.7447162836272915e-16,1.0,1.0,1,0.00038571699406020343,2,4.0,5.352670878442924e-16,residual_tol,0,0,3.2351992558687925e-05,0.0,True,,0,0,1.2334146377274446,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3056.0,768.0,2048.0,0.0,128.0,32.0,32.0,24.0,16.0,0.0,0.0,8.0,0.0,7.72099883761257e-06,0.00012033699022140354,6.00280036451295e-05,1.1078998795710504e-05,0.00013950199354439974
3,4,OMP,baseline,OMP (baseline),96,256,0.375,gaussian,gaussian,clean,0.0,8.740657434255035e-32,2.956460287955012e-16,1.0,1.0,1,0.00027581599715631455,4,4.0,9.669616920414676e-16,target_sparsity_reached,0,0,8.013797923922539e-05,1.0,False,,0,0,1.1555147372630319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2968.0,768.0,2048.0,0.0,0.0,0.0,80.0,40.0,0.0,0.0,0.0,32.0,0.0,5.4391013691201806e-05,4.370301030576229e-05,8.013797923922539e-05,2.582200977485627e-05,0.0
3,4,OMP,optimized,OMP (optimized),96,256,0.375,gaussian,gaussian,clean,0.0,9.182760954843435e-21,9.582672359443076e-11,1.0,1.0,1,0.0001581010001245886,4,4.0,2.984465222757649e-10,target_sparsity_reached,0,0,5.64940128242597e-05,1.0,True,,0,0,1.1555147372630319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1264.0,768.0,0.0,256.0,128.0,32.0,32.0,40.0,0.0,0.0,0.0,8.0,0.0,1.3845026842318475e-05,6.788017344661057e-06,5.64940128242597e-05,1.8246020772494376e-05,2.7870002668350935e-05
