ablation_variant,trial,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
full_suite,0,gOMP+IncrementalSolver,optimized,0.0017918829980771989,2.9821982025168836e-05,0.000787120996392332,0.00032990500039886683,5.1933981012552977e-05,0.00041560697718523443
full_suite,1,gOMP+IncrementalSolver,optimized,0.0013685809972230345,2.6658002752810717e-05,0.0007287890184670687,0.00027324201073497534,4.9677008064463735e-05,0.00011944500147365034
full_suite,2,gOMP+IncrementalSolver,optimized,0.0012274080072529614,2.4212014977820218e-05,0.0006718919903505594,0.00023589396732859313,4.11689979955554e-05,0.00010776001727208495
full_suite,3,gOMP+IncrementalSolver,optimized,0.001173482000012882,2.63259862549603e-05,0.0006137150048743933,0.00023003599199000746,4.2822997784242034e-05,0.00011641401215456426
full_suite,4,gOMP+IncrementalSolver,optimized,0.0011817810009233654,2.6684996555559337e-05,0.0006093410047469661,0.00024188902170863003,4.123897815588862e-05,0.00011373400047887117
full_suite,5,gOMP+IncrementalSolver,optimized,0.0015069320070324466,2.619401493575424e-05,0.0006563060160260648,0.0002494750078767538,4.391497350297868e-05,0.00035911200393456966
full_suite,6,gOMP+IncrementalSolver,optimized,0.0018159080063924193,3.0153008992783725e-05,0.0007810980023350567,0.00029249500948935747,5.2664021495729685e-05,0.00048445498396176845
full_suite,7,gOMP+IncrementalSolver,optimized,0.0014721399929840118,2.7237998438067734e-05,0.0006603849906241521,0.000249300996074453,4.293800157029182e-05,0.000329896982293576
full_suite,8,gOMP+IncrementalSolver,optimized,0.0015156160079641268,3.0525989132001996e-05,0.000682236990542151,0.0002474029897712171,4.3765976442955434e-05,0.0003608080151025206
full_suite,9,gOMP+IncrementalSolver,optimized,0.0019139030046062544,2.63960100710392e-05,0.000722147015039809,0.0003826100000878796,5.3149997256696224e-05,0.00042186598875559866
full_suite,10,gOMP+IncrementalSolver,optimized,0.0014548010076396167,2.5672008632682264e-05,0.0005903220298932865,0.00024099899746943265,3.9699996705166996e-05,0.0004172209883108735
full_suite,11,gOMP+IncrementalSolver,optimized,0.0013387349899858236,2.9072994948364794e-05,0.0007094009924912825,0.00027146101638209075,4.265202733222395e-05,0.00011050398461520672
full_suite,12,gOMP+IncrementalSolver,optimized,0.0018957290012622252,3.473700780887157e-05,0.0009891659865388647,0.000415447007981129,7.289000495802611e-05,0.00014670602104160935
