measurement_ratio,trial,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
0.1875,0,gOMP,baseline,0.0006257890054257587,2.858600055333227e-05,0.00010184600250795484,0.00025063300563488156,4.82110190205276e-05,0.0
0.1875,0,gOMP,optimized,0.0002832149912137538,2.3523010895587504e-05,6.279602530412376e-05,0.00010456197196617723,3.0691997380927205e-05,0.0
0.1875,1,gOMP,baseline,0.0005287130043143407,2.684695937205106e-05,7.765000918880105e-05,0.00020834298629779369,3.975199069827795e-05,0.0
0.1875,1,gOMP,optimized,0.0003492880059638992,2.540196874178946e-05,9.21900209505111e-05,0.0001149949966929853,3.853598900604993e-05,0.0
0.1875,2,gOMP,baseline,0.0004667269968194887,1.9165017874911427e-05,7.135199848562479e-05,0.0001971059973584488,3.0010996852070093e-05,0.0
0.1875,2,gOMP,optimized,0.00040610799624118954,4.534900654107332e-05,7.665299926884472e-05,0.00012800800323020667,6.328601739369333e-05,0.0
0.1875,3,gOMP,baseline,0.0008451949979644269,3.919999289792031e-05,0.000138268995215185,0.00031825700716581196,6.809901969972998e-05,0.0
0.1875,3,gOMP,optimized,0.00046900700544938445,3.48910252796486e-05,0.00011142803123220801,0.00017615001706872135,5.2064002375118434e-05,0.0
0.1875,4,gOMP,baseline,0.0005950219929218292,3.075403219554573e-05,9.995201253332198e-05,0.00022500600607600063,4.683597944676876e-05,0.0
0.1875,4,gOMP,optimized,0.00026009499561041594,2.2440013708546758e-05,5.922598938923329e-05,9.411695646122098e-05,3.0764000257477164e-05,0.0
0.1875,5,gOMP,baseline,0.0004697359981946647,2.394701004959643e-05,7.013099093455821e-05,0.00018417701357975602,3.208000271115452e-05,0.0
0.1875,5,gOMP,optimized,0.00023341999622061849,1.6624981071799994e-05,5.0116999773308635e-05,7.697296678088605e-05,2.51440069405362e-05,0.0
0.1875,6,gOMP,baseline,0.0013151599996490404,4.652999632526189e-05,0.0002942980208899826,0.0004067400295753032,0.00016502899234183133,0.0
