trial,coeff_mode,algorithm,m,n,measurement_ratio,matrix_kind,snr_db,noise_sigma,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,stop_reason,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,used_incremental_solver,fallback_reason,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver
5,gaussian,OMP,96,256,0.375,gaussian,20.0,0.04549886865848932,0.006878052941750802,0.08293402764698458,0.8125,0.8125,0,0.0009843999869190156,16,16.0,0.3729542235144902,target_sparsity_reached,3,3,0.0,1.0,False,,0,0,2.0391743979728365,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,gaussian,gOMP,96,256,0.375,gaussian,20.0,0.04549886865848932,0.0056317109009752925,0.07504472600373255,0.8125,0.8125,0,0.0004351999959908426,6,16.0,0.3801234238683875,target_sparsity_reached,3,3,0.0,3.0,False,,0,0,2.000457072582357,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,gaussian,Improved-gOMP,96,256,0.375,gaussian,20.0,0.04549886865848932,0.0061115402173182575,0.07817634052140236,0.75,0.9230769230769231,0,0.001187799993203953,5,13.0,0.44387101267516527,noise_floor,1,4,0.00010620002285577357,18.4,True,,0,0,1.8451739795368773,0.0,0.0,0.0,0.0,1.0,0.0,1.0
6,gaussian,OMP,96,256,0.375,gaussian,20.0,0.04434864150097239,0.00413815019978629,0.06432845559926252,0.9375,0.9375,0,0.0010085999965667725,16,16.0,0.38198750101240586,target_sparsity_reached,1,1,0.0,1.0,False,,0,0,2.009186498184914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,gaussian,gOMP,96,256,0.375,gaussian,20.0,0.04434864150097239,0.005602655957708737,0.07485089149575132,0.875,0.875,0,0.0003981000045314431,6,16.0,0.45303764145349845,target_sparsity_reached,2,2,0.0,3.0,False,,0,0,1.9992046877055423,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,gaussian,Improved-gOMP,96,256,0.375,gaussian,20.0,0.04434864150097239,0.005510381039988123,0.07423194083403803,0.875,0.9333333333333333,0,0.0012835999950766563,5,15.0,0.45450422595982076,noise_floor,1,2,0.00011679995805025101,19.2,True,cholesky_solve,1,0,1.8732779705897171,1.0,1.0,0.0,0.0,1.0,0.0,1.0
7,gaussian,OMP,96,256,0.375,gaussian,20.0,0.03428621402923757,0.00951003953624348,0.09751943158285675,0.8125,0.8125,0,0.0009154000144917518,16,16.0,0.24400122433245902,target_sparsity_reached,3,3,0.0,1.0,False,,0,0,1.9708275646291178,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,gaussian,gOMP,96,256,0.375,gaussian,20.0,0.03428621402923757,0.011555248612450901,0.1074953422825887,0.6875,0.6875,0,0.0004015000013168901,6,16.0,0.2678690587900382,target_sparsity_reached,5,5,0.0,3.0,False,,0,0,2.0005210743945536,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,gaussian,Improved-gOMP,96,256,0.375,gaussian,20.0,0.03428621402923757,0.009594079343128739,0.09794937132584741,0.6875,0.9166666666666666,0,0.0010304999887011945,5,12.0,0.2996371630950912,noise_floor,1,5,9.619994671083987e-05,17.0,True,,0,0,1.7641252981781363,0.0,0.0,0.0,0.0,1.0,0.0,1.0
8,gaussian,OMP,96,256,0.375,gaussian,20.0,0.03756745201999591,0.0010455638518839722,0.03233517978740759,1.0,1.0,1,0.0010306999902240932,16,16.0,0.31615025314038603,target_sparsity_reached,0,0,0.0,1.0,False,,0,0,2.0300497662327266,0.0,0.0,0.0,0.0,0.0,0.0,0.0
