coeff_mode,trial,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
gaussian,0,OMP,baseline,0.001294432000577217,8.73400094860699e-05,0.00014754400763195008,0.0004917959922750015,0.00011218700456083752,0.0
gaussian,0,OMP,optimized,0.000621975999820279,6.248499630601145e-05,2.7125006454298273e-05,0.00025209000159520656,8.469200838590041e-05,0.00011758099935832433
gaussian,1,OMP,baseline,0.0009305399980803486,5.638400762109086e-05,9.733199112815782e-05,0.0003739640051207971,8.436200369033031e-05,0.0
gaussian,1,OMP,optimized,0.0005547990003833547,4.966900451108813e-05,2.1693991584470496e-05,0.00021699700664612465,7.15569949534256e-05,0.0001221470047312323
gaussian,2,OMP,baseline,0.0009580760015523992,5.9696998505387455e-05,0.00010081499567604624,0.0003722729998116847,8.311699639307335e-05,0.0
gaussian,2,OMP,optimized,0.0006157339994388167,5.5290998716372997e-05,2.8961003408767283e-05,0.00022872800764162093,0.00011881799582624808,0.00011279999307589605
gaussian,3,OMP,baseline,0.0010182670012000017,8.053899728110991e-05,0.00010707199544413015,0.0004100760015717242,0.00010039200424216688,0.0
gaussian,3,OMP,optimized,0.0004962130005878862,5.5322012485703453e-05,1.8439986888552085e-05,0.00019256899031461217,6.798100730520673e-05,9.829000191530213e-05
gaussian,4,OMP,baseline,0.0008987000001070555,5.7972007198259234e-05,9.32829971134197e-05,0.00035777700395556167,8.396599878324196e-05,0.0
gaussian,4,OMP,optimized,0.0005423699985840358,6.455899710999802e-05,2.24049981625285e-05,0.00020956599109922536,7.118899520719424e-05,0.00011047000225516967
gaussian,5,OMP,baseline,0.0010205470025539398,6.451900117099285e-05,0.00010391200703452341,0.00042388101064716466,9.988299643737264e-05,0.0
gaussian,5,OMP,optimized,0.0005443139998533297,5.862401667400263e-05,2.1350006136344746e-05,0.0002071110029646661,7.642000491614453e-05,0.00010530800500418991
gaussian,6,OMP,baseline,0.0012618669970834162,7.422199632856064e-05,0.00011465801071608439,0.0005197779937589075,0.00013489299453794956,0.0
gaussian,6,OMP,optimized,0.0006133220012998208,6.05730019742623e-05,2.6734000130090863e-05,0.0002610460032883566,8.007399446796626e-05,0.00011628699940047227
gaussian,7,OMP,baseline,0.0010510740030440502,7.278400516952388e-05,0.00011659599476843141,0.00040982200152939186,0.00010185000792262144,0.0
gaussian,7,OMP,optimized,0.0006437399970309343,6.59180004731752e-05,3.339399700053036e-05,0.00026347099628765136,8.25280076242052e-05,0.00012535599671537057
gaussian,8,OMP,baseline,0.0009220450010616332,5.99029881414026e-05,9.805399895412847e-05,0.0003581769960874226,8.188999709091149e-05,0.0
gaussian,8,OMP,optimized,0.0005020639982831199,4.7127996367635205e-05,1.906300167320296e-05,0.00020477900397963822,6.672300150967203e-05,0.00010084400128107518
gaussian,9,OMP,baseline,0.0008733909999136813,5.9738002164522186e-05,9.13239928195253e-05,0.0003459010004007723,8.594800237915479e-05,0.0
gaussian,9,OMP,optimized,0.0004761320014949888,5.318300100043416e-05,1.8164999346481636e-05,0.00018979899687110446,6.263700925046578e-05,9.592800051905215e-05
gaussian,10,OMP,baseline,0.0009015530013130046,5.310200140229426e-05,9.672800297266804e-05,0.00036701301360153593,7.525999535573646e-05,0.0
gaussian,10,OMP,optimized,0.00045947600301587954,4.492500374908559e-05,1.7486996512161568e-05,0.00018177900710725226,6.272099926718511e-05,9.36940050451085e-05
gaussian,11,OMP,baseline,0.0009964330020011403,7.383199044852518e-05,0.00010525099787628278,0.0003643460077000782,9.368899191031232e-05,0.0
gaussian,11,OMP,optimized,0.0005209200026001781,5.718799729947932e-05,1.9359009456820786e-05,0.00020386800679261796,7.290799476322718e-05,0.00010140600716113113
gaussian,12,OMP,baseline,0.0008778280025580898,5.1646002248162404e-05,0.00010558299982221797,0.0003405089992156718,8.355399768333882e-05,0.0
gaussian,12,OMP,optimized,0.0004964250001648907,4.607098890119232e-05,2.301199856447056e-05,0.00019341299048392102,6.508399383164942e-05,0.00010590899546514265
gaussian,13,OMP,baseline,0.000872417997015873,6.0476999351521954e-05,9.230799332726747e-05,0.000343874009558931,8.412100578425452e-05,0.0
gaussian,13,OMP,optimized,0.0005993849990773015,6.065500565455295e-05,2.0964002032997087e-05,0.00026405000244267285,7.684099546168e-05,0.00010734899842645973
gaussian,14,OMP,baseline,0.0010303669987479225,5.573599992203526e-05,0.0001026399913826026,0.0004307309936848469,8.686599903739989e-05,0.0
gaussian,14,OMP,optimized,0.0004934610005875584,4.4974996853852645e-05,1.908200647449121e-05,0.000204175004910212,6.696600394207053e-05,9.604001752450131e-05
gaussian,15,OMP,baseline,0.0013053059992671479,7.413500134134665e-05,0.00018520699813961983,0.0005026209873904008,0.00012356400111457333,0.0
gaussian,15,OMP,optimized,0.0005430630008049775,5.983799565001391e-05,2.1301009837770835e-05,0.00021370301328715868,7.321799421333708e-05,0.00010819899762282148
gaussian,16,OMP,baseline,0.0009748489974299446,5.877999137737788e-05,0.00010239999028271995,0.000403748985263519,8.67990056576673e-05,0.0
gaussian,16,OMP,optimized,0.0005309869993652683,5.295000664773397e-05,2.11810038308613e-05,0.0002031310104939621,8.28039956104476e-05,0.00010621300316415727
gaussian,17,OMP,baseline,0.0009423970004718285,6.324800051515922e-05,0.00010829799430212006,0.0003713650003192015,8.833200263325125e-05,0.0
gaussian,17,OMP,optimized,0.000515055002324516,5.516800956684165e-05,1.917299596243538e-05,0.00019436299407971092,6.819699774496257e-05,0.00011421599629102275
gaussian,18,OMP,baseline,0.0009621940007491503,5.7920999097405e-05,9.985699580283836e-05,0.0003637149930000305,9.320900062448345e-05,0.0
gaussian,18,OMP,optimized,0.00046486599967465736,4.4819997128797695e-05,2.2075000742916018e-05,0.0001828299900807906,6.251700688153505e-05,9.39739948080387e-05
gaussian,19,OMP,baseline,0.0008765050006331876,5.964800584479235e-05,9.163200229522772e-05,0.0003488109869067557,8.359600906260312e-05,0.0
gaussian,19,OMP,optimized,0.0004667550019803457,5.478600360220298e-05,1.763700129231438e-05,0.00018077499407809228,6.314499842119403e-05,9.249200229533017e-05
rademacher,0,OMP,baseline,0.001455148001696216,0.00010589499652269296,0.00014401799126062542,0.0006113140007073525,0.00014655700579169206,0.0
rademacher,0,OMP,optimized,0.000602069001615746,5.3050000133225694e-05,2.24960022023879e-05,0.00022271801208262332,7.714601088082418e-05,0.00013771300655207597
rademacher,1,OMP,baseline,0.0008810180006548762,5.987300392007455e-05,8.975799937616102e-05,0.00035074599873041734,8.04129995231051e-05,0.0
rademacher,1,OMP,optimized,0.0006948850023036357,6.203099474078044e-05,4.7886995162116364e-05,0.00023566501113236882,0.00011156599430250935,0.00012398199760355055
rademacher,2,OMP,baseline,0.0009902649981086142,5.9361005696700886e-05,0.00010399999518995173,0.00039590899177710526,8.417900971835479e-05,0.0
rademacher,2,OMP,optimized,0.0004850790028285701,4.929599890601821e-05,2.1569991076830775e-05,0.0001879130068118684,6.697599746985361e-05,9.673200111137703e-05
rademacher,3,OMP,baseline,0.001073770999937551,7.198000093922019e-05,0.00012312301259953529,0.000427625000156695,0.00010060100248665549,0.0
rademacher,3,OMP,optimized,0.0005137500011187512,6.481198943220079e-05,2.0739003957714885e-05,0.00019167498976457864,6.922300235601142e-05,0.00010634899444994517
rademacher,4,OMP,baseline,0.0010218499992333818,6.202700024005026e-05,0.00010234201545245014,0.0003893160064762924,9.403000876773149e-05,0.0
rademacher,4,OMP,optimized,0.0004806750002899207,4.843200076720677e-05,1.8848004401661456e-05,0.00019029300528927706,6.501199459307827e-05,9.67779997154139e-05
rademacher,5,OMP,baseline,0.000889719001861522,6.089199450798333e-05,9.437300468562171e-05,0.0003579419935704209,8.37560037325602e-05,0.0
rademacher,5,OMP,optimized,0.0004622060005203821,5.32770027348306e-05,1.7487000150140375e-05,0.00017734799257596023,6.190000203787349e-05,9.274500189349055e-05
rademacher,6,OMP,baseline,0.000926132001040969,5.897000301047228e-05,9.872699956758879e-05,0.0003601040007197298,8.247500227298588e-05,0.0
rademacher,6,OMP,optimized,0.0005283219979901332,5.0983999244635925e-05,2.5437999283894897e-05,0.00020813499941141345,6.998499884502962e-05,0.00010180999379372224
rademacher,7,OMP,baseline,0.000910274000489153,6.26780056336429e-05,9.305000276071951e-05,0.0003593860055843834,8.391599476453848e-05,0.0
rademacher,7,OMP,optimized,0.0005364799981180113,5.817200872115791e-05,2.7095004043076187e-05,0.00021070099319331348,7.152000398491509e-05,0.00010477499745320529
rademacher,8,OMP,baseline,0.0013132759995642118,7.229699622257613e-05,0.0001536349991511088,0.0005012039946450386,0.0001405020011588931,0.0
rademacher,8,OMP,optimized,0.0006325430003926158,5.694998981198296e-05,2.3726996005279943e-05,0.000248463995376369,0.00010509399726288393,0.00011677999282255769
rademacher,9,OMP,baseline,0.0009149150027951691,6.311899414868094e-05,9.498400322627276e-05,0.0003556990013748873,0.00010211800690740347,0.0
rademacher,9,OMP,optimized,0.000489242000185186,5.538299956242554e-05,1.9072012946708128e-05,0.00019146000340697356,6.502800169982947e-05,9.915099872159772e-05
rademacher,10,OMP,baseline,0.0010369799965701532,6.0751997807528824e-05,0.00010143901454284787,0.0003995690058218315,9.597199823474512e-05,0.0
rademacher,10,OMP,optimized,0.0005080060000182129,5.075599983683787e-05,1.968200012925081e-05,0.0002022280023084022,6.894099715282209e-05,0.00010401300460216589
rademacher,11,OMP,baseline,0.0009548679990984965,6.76240015309304e-05,9.594899165676907e-05,0.00037366901233326644,9.155400039162487e-05,0.0
rademacher,11,OMP,optimized,0.0005341630021575838,5.996999971102923e-05,2.0220009901095182e-05,0.00020413400125107728,7.077700138324872e-05,0.00011707900921464898
rademacher,12,OMP,baseline,0.0008736159979889635,5.4959000408416614e-05,9.334400965599343e-05,0.00034250599492224865,7.560800077044405e-05,0.0
rademacher,12,OMP,optimized,0.00046223400204326026,4.6446992200799286e-05,1.742699896567501e-05,0.00018088599608745426,6.388699694070965e-05,9.449299614061601e-05
rademacher,13,OMP,baseline,0.0010872329985431861,7.883399666752666e-05,0.000127034007164184,0.00044041200453648344,0.00010372000542702153,0.0
rademacher,13,OMP,optimized,0.00048227200022665784,5.4606996855000034e-05,1.8005986930802464e-05,0.00018815100702340715,6.417899567168206e-05,9.652599692344666e-05
rademacher,14,OMP,baseline,0.0009628629995859228,5.8144993090536445e-05,9.454200335312635e-05,0.0003740339961950667,8.47610026539769e-05,0.0
rademacher,14,OMP,optimized,0.0005023109988542274,4.727099076262675e-05,2.3248991055879742e-05,0.00019357799828867428,6.725200364599004e-05,0.00010634498903527856
rademacher,15,OMP,baseline,0.0013166940007067751,7.336100679822266e-05,0.00011726700904546306,0.0005998389970045537,0.00012451300062821247,0.0
rademacher,15,OMP,optimized,0.0005256240001472179,5.608299397863448e-05,1.8661008652998134e-05,0.00021116001516929828,7.153500337153673e-05,0.00010365900379838422
rademacher,16,OMP,baseline,0.0008929949981393293,5.202000102144666e-05,9.135300206253305e-05,0.0003577459901862312,8.480600445182063e-05,0.0
rademacher,16,OMP,optimized,0.0006837900000391528,0.0001076829939847812,2.9823997465427965e-05,0.00025687199740787037,7.694600208196789e-05,0.00013561401283368468
rademacher,17,OMP,baseline,0.0014352130019688047,0.00019360799706191756,0.00016153000615304336,0.0005239620077190921,0.0001247589971171692,0.0
rademacher,17,OMP,optimized,0.0005750509990321007,5.7318997278343886e-05,3.1730996852274984e-05,0.00023199700444820337,7.285500032594427e-05,0.00010959300198010169
rademacher,18,OMP,baseline,0.0009348769999633078,5.6303993915207684e-05,0.00011453900879132561,0.00035085599665762857,7.789500159560703e-05,0.0
rademacher,18,OMP,optimized,0.0004935649994877167,5.509101174538955e-05,1.9091003196081147e-05,0.00019365699336049147,6.600999768124893e-05,9.679900540504605e-05
rademacher,19,OMP,baseline,0.0009659639981691726,6.171699351398274e-05,9.986200529965572e-05,0.00037090800833539106,0.00011134599117212929,0.0
rademacher,19,OMP,optimized,0.0004672190007113386,5.221399260335602e-05,1.8153008568333462e-05,0.00018090400044457056,6.253300307434984e-05,9.365398727823049e-05
uniform,0,OMP,baseline,0.001047044999722857,6.710400703013875e-05,0.00011139100024593063,0.0003949699930672068,0.00010569400183157995,0.0
uniform,0,OMP,optimized,0.0005373610001697671,4.650900518754497e-05,1.9984010577900335e-05,0.000238361993979197,6.968600428081118e-05,0.00010136899800272658
uniform,1,OMP,baseline,0.0010114169999724254,6.349300383590162e-05,0.00010516299880691804,0.0004107570093765389,9.293399489251897e-05,0.0
uniform,1,OMP,optimized,0.0004899359992123209,5.907400554860942e-05,1.9845007045660168e-05,0.0001899839953694027,6.408100307453424e-05,9.837499965215102e-05
uniform,2,OMP,baseline,0.0008905379982024897,5.545399835682474e-05,9.256398334400728e-05,0.0003659819994936697,7.644700235687196e-05,0.0
uniform,2,OMP,optimized,0.0004702080004790332,4.738799907499924e-05,1.796899232431315e-05,0.0001898640075523872,6.357299935189076e-05,9.683999087428674e-05
uniform,3,OMP,baseline,0.0012332289988989942,7.321599696297199e-05,0.00010795599882840179,0.0005252820046734996,0.00013546999980462715,0.0
uniform,3,OMP,optimized,0.0004943189996993169,5.609699655906297e-05,1.966299896594137e-05,0.00019245099974796176,6.58290009596385e-05,9.777899322216399e-05
uniform,4,OMP,baseline,0.0008488280000165105,5.704800059902482e-05,9.187399700749665e-05,0.0003399659981369041,7.390799873974174e-05,0.0
uniform,4,OMP,optimized,0.0005316589995345566,4.937999983667396e-05,2.8391001251293346e-05,0.00021362999541452155,7.174101119744591e-05,0.00010402800398878753
uniform,5,OMP,baseline,0.0009342630000901408,6.272799873840995e-05,0.0001003359975584317,0.0003576789968064986,8.560700007365085e-05,0.0
uniform,5,OMP,optimized,0.00047269700007745996,5.254800271359272e-05,1.7836999177234247e-05,0.00018729198927758262,6.235999171622097e-05,9.535300341667607e-05
