trial,k,algorithm,m,n,measurement_ratio,matrix_kind,coeff_mode,snr_db,noise_sigma,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,stop_reason,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,used_incremental_solver,fallback_reason,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver
5,4,OMP,96,256,0.375,gaussian,gaussian,20.0,0.02481243339203202,7.922039186878155e-05,0.008900583793705981,1.0,1.0,1,0.00016840000171214342,4,4.0,0.22572151404161436,target_sparsity_reached,0,0,0.0,1.0,False,,0,0,1.2602417710553806,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,4,gOMP,96,256,0.375,gaussian,gaussian,20.0,0.02481243339203202,7.922039186877979e-05,0.008900583793705882,1.0,1.0,1,9.2999980552122e-05,2,4.0,0.2257215140416144,target_sparsity_reached,0,0,0.0,3.0,False,,0,0,1.2602417710553808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,4,Improved-gOMP,96,256,0.375,gaussian,gaussian,20.0,0.02481243339203202,7.9220392432247e-05,0.008900583825359267,1.0,1.0,1,0.0005705000075977296,2,4.0,0.22572151404161436,target_sparsity_reached,0,0,3.889997606165707e-05,14.5,True,,0,0,1.2602417710553808,0.0,0.0,0.0,0.0,1.0,0.0,1.0
6,4,OMP,96,256,0.375,gaussian,gaussian,20.0,0.025147339891009278,0.00022563789701858237,0.015021248184441343,1.0,1.0,1,0.0002348999842070043,4,4.0,0.261333758850822,target_sparsity_reached,0,0,0.0,1.0,False,,0,0,1.388588006022143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,4,gOMP,96,256,0.375,gaussian,gaussian,20.0,0.025147339891009278,0.00022563789701858237,0.015021248184441343,1.0,1.0,1,0.00019910000264644623,2,4.0,0.261333758850822,target_sparsity_reached,0,0,0.0,3.0,False,,0,0,1.388588006022143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,4,Improved-gOMP,96,256,0.375,gaussian,gaussian,20.0,0.025147339891009278,0.00022563789909915878,0.015021248253695788,1.0,1.0,1,0.000610999995842576,2,4.0,0.26133375885082194,target_sparsity_reached,0,0,5.050000618211925e-05,16.0,True,,0,0,1.388588006022143,0.0,0.0,0.0,0.0,1.0,0.0,1.0
7,4,OMP,96,256,0.375,gaussian,gaussian,20.0,0.01840461713886352,0.0005536982240936686,0.023530793103796323,1.0,1.0,1,0.00020760000916197896,4,4.0,0.18881513257670315,target_sparsity_reached,0,0,0.0,1.0,False,,0,0,1.1532903542842043,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,4,gOMP,96,256,0.375,gaussian,gaussian,20.0,0.01840461713886352,0.0005536982240936686,0.023530793103796323,1.0,1.0,1,9.6399977337569e-05,2,4.0,0.18881513257670315,target_sparsity_reached,0,0,0.0,3.0,False,,0,0,1.1532903542842043,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,4,Improved-gOMP,96,256,0.375,gaussian,gaussian,20.0,0.01840461713886352,0.0005536982277452122,0.02353079318138707,1.0,1.0,1,0.0005109999910928309,2,4.0,0.18881513257670315,target_sparsity_reached,0,0,4.3599982745945454e-05,15.0,True,,0,0,1.1532903542842043,0.0,0.0,0.0,0.0,1.0,0.0,1.0
8,4,OMP,96,256,0.375,gaussian,gaussian,20.0,0.02350981741641948,0.00019514041110319468,0.013969266663042648,1.0,1.0,1,0.00018889998318627477,4,4.0,0.20674730082322837,target_sparsity_reached,0,0,0.0,1.0,False,,0,0,1.1713202394948463,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,4,gOMP,96,256,0.375,gaussian,gaussian,20.0,0.02350981741641948,0.019577839717740186,0.13992083375159037,0.75,0.75,0,0.00010050000855699182,2,4.0,0.3819783610604577,target_sparsity_reached,1,1,0.0,3.0,False,,0,0,1.538102052257948,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,4,Improved-gOMP,96,256,0.375,gaussian,gaussian,20.0,0.02350981741641948,0.00019514041110319468,0.013969266663042648,1.0,1.0,1,0.0004492000152822584,2,4.0,0.20674730082322837,target_sparsity_reached,0,0,3.540000761859119e-05,16.0,True,,0,0,1.5202587442383904,0.0,0.0,0.0,0.0,1.0,0.0,1.0
9,4,OMP,96,256,0.375,gaussian,gaussian,20.0,0.016514154699597248,0.0003495069866633933,0.018695105954858703,1.0,1.0,1,0.0001841000048443675,4,4.0,0.18800956529285487,target_sparsity_reached,0,0,0.0,1.0,False,,0,0,1.3747897864487093,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,4,gOMP,96,256,0.375,gaussian,gaussian,20.0,0.016514154699597248,0.05942623514241124,0.24377496824409853,0.75,0.75,0,8.6199986981228e-05,2,4.0,0.45116836562437995,target_sparsity_reached,1,1,0.0,3.0,False,,0,0,1.6612454987793825,0.0,0.0,0.0,0.0,0.0,0.0,0.0
