matrix_kind,trial,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
gaussian,0,OMP,baseline,0.0010716280012275092,7.196600927272812e-05,0.00011476700092316605,0.0004246780008543283,9.716999556985684e-05,0.0
gaussian,0,OMP,optimized,0.0008498329989379272,6.688500798190944e-05,2.895199941121973e-05,0.00040585001261206344,0.00011310999980196357,0.00014276099318522029
gaussian,1,OMP,baseline,0.0009767500014277175,7.70519909565337e-05,9.692100866232067e-05,0.0003862559897243045,8.844200419844128e-05,0.0
gaussian,1,OMP,optimized,0.000515171999722952,4.850300683756359e-05,1.9651008187793195e-05,0.00020318300448707305,7.06510036252439e-05,0.00010642900087987073
gaussian,2,OMP,baseline,0.001059777001501061,6.072001269785687e-05,9.457899068365805e-05,0.0003852359986922238,8.61549997352995e-05,0.0
gaussian,2,OMP,optimized,0.0005488280003191903,5.3199993999442086e-05,3.293800546089187e-05,0.00020999499975005165,7.43429955036845e-05,0.00010999299411196262
gaussian,3,OMP,baseline,0.0009720520029077306,6.516499706776813e-05,0.00010048600597656332,0.00038261299414443783,9.768300878931768e-05,0.0
gaussian,3,OMP,optimized,0.0008069539981079288,9.004000457935035e-05,2.869500167435035e-05,0.0002900829931604676,0.00010486901010153815,0.00020885899721179157
gaussian,4,OMP,baseline,0.000937577999138739,5.87980066484306e-05,9.209499694406986e-05,0.0003679829969769344,0.00010282299626851454,0.0
gaussian,4,OMP,optimized,0.0010729860005085357,7.630099935340695e-05,3.0602997867390513e-05,0.00040904399429564364,0.00017563000074005686,0.00025927800379577093
gaussian,5,OMP,baseline,0.0008831019986246247,5.2090996177867055e-05,9.712299288366921e-05,0.00035018699782085605,8.091499694273807e-05,0.0
gaussian,5,OMP,optimized,0.0006151699999463744,5.320299896993674e-05,2.126899198628962e-05,0.0002132010158675257,0.00010599400047794916,0.00011136899775010534
gaussian,6,OMP,baseline,0.0009435460015083663,6.416699761757627e-05,9.200899512507021e-05,0.00037522398997680284,9.826699897530489e-05,0.0
