matrix_kind,baseline_peak_working_set_bytes,baseline_solver_gram_bytes,baseline_support_history_bytes,optimized_peak_working_set_bytes,optimized_solver_gram_bytes,optimized_support_history_bytes,memory_saving_ratio,peak_working_set_delta_bytes,solver_gram_delta_bytes,support_history_delta_bytes
bernoulli,3664.0,0.0,488.0,1216.0,0.0,128.0,3.013157894736842,-2448.0,0.0,-360.0
gaussian,3664.0,0.0,488.0,1216.0,0.0,128.0,3.013157894736842,-2448.0,0.0,-360.0
partial_dct,3664.0,0.0,488.0,1216.0,0.0,128.0,3.013157894736842,-2448.0,0.0,-360.0
