n,baseline_runtime_sec,baseline_nmse,baseline_support_recall,baseline_support_precision,baseline_exact_support_recovery,optimized_runtime_sec,optimized_nmse,optimized_support_recall,optimized_support_precision,optimized_exact_support_recovery,speedup_ratio,nmse_delta,support_recall_delta,support_precision_delta,exact_support_recovery_delta
128,0.003090867197170155,0.005355963298607006,0.8652083333333334,0.9193038073038072,0.056666666666666664,0.0014944073662627488,0.004839354865971991,0.8685416666666667,0.9465591491841493,0.08,2.0682895888688457,-0.0005166084326350155,0.0033333333333332993,0.027255341880342066,0.023333333333333338
256,0.0029715423902477293,0.008205246875824726,0.8497916666666666,0.8798924825174826,0.03666666666666667,0.0014007273771373245,0.005455394001989956,0.8685416666666667,0.9321923076923077,0.09333333333333334,2.1214280799741987,-0.0027498528738347707,0.018750000000000044,0.05229982517482501,0.05666666666666667
384,0.0029607272966435025,0.01009471843120312,0.8339583333333334,0.8587403846153846,0.02,0.0014188635232373296,0.005750499747377848,0.8627083333333333,0.9199306526806527,0.043333333333333335,2.0866892750108916,-0.004344218683825271,0.028749999999999942,0.06119026806526806,0.023333333333333334
512,0.0029800545438774862,0.013550273659929389,0.8147916666666667,0.8331236402486403,0.013333333333333334,0.0014713748869932411,0.007560434207639729,0.8472916666666667,0.9063311965811965,0.03333333333333333,2.0253536812547046,-0.00598983945228966,0.03249999999999997,0.07320755633255627,0.019999999999999997
