measurement_ratio,algorithm,implementation,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec,peak_working_set_bytes,residual_bytes,x_hat_bytes,support_mask_bytes,solver_gram_bytes,solver_rhs_bytes,support_history_bytes,residual_history_bytes,support_size_history_bytes,candidate_size_history_bytes,group_size_history_bytes,support_condition_history_bytes,extra_array_bytes
0.1875,Improved-gOMP,baseline,0.44330151714614185,0.5936335982288856,0.4554166666666667,0.46048611111111115,0.0,0.003457005686504999,6.003333333333333,15.876666666666667,0.5897440129158086,8.59,8.713333333333333,0.00026357057931212087,16.790142857142857,0.0,0.0,3.1216390945439905,0.9766666666666667,0.9766666666666667,1.0,1.0,1.0,1.0,0.0,3.4136315322636315e-05,0.0023524868653718536,0.00021751500738901086,4.797331891798725e-05,0.00036922556450008414,3154.48,384.0,2048.0,0.0,0.0,0.0,474.3466666666667,56.026666666666664,48.026666666666664,48.026666666666664,48.026666666666664,48.026666666666664,0.0
0.1875,Improved-gOMP,optimized,0.30798591673036296,0.48028363037698407,0.5272916666666667,0.5426837606837607,0.0,0.0017747758366264558,5.933333333333334,15.683333333333334,0.499926670630277,7.246666666666667,7.5633333333333335,0.00019441157196221562,0.0,0.0,0.0,3.1280787598587594,0.9366666666666666,0.9366666666666666,0.0,0.0,1.0,0.0,1.0,3.001249375908325e-05,0.0008528346797296156,0.000331182385464975,4.98254942552497e-05,0.00029830793258346,4769.093333333333,384.0,2048.0,0.0,1975.2266666666667,125.46666666666667,125.46666666666667,55.46666666666667,47.46666666666667,0.0,0.0,8.0,0.0
0.1875,OMP,baseline,0.39103782788137464,0.5071770707947754,0.5375,0.5375,0.0,0.001357764533070925,16.0,16.0,0.39750520601400274,7.4,7.4,0.0005262855888577178,1.0,0.0,0.0,2.8026191711223762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.876756848418154e-05,0.00016184706075970704,0.0005262855888577178,0.0001246859385961822,0.0,3784.0,384.0,2048.0,0.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,128.0,0.0
0.1875,OMP,optimized,0.39103782779470153,0.507177070739111,0.5375,0.5375,0.0,0.0007908668630989268,16.0,16.0,0.39750520601400274,7.4,7.4,0.0003188414898371169,1.0,0.0,0.0,2.8026191711223762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.653406036396822e-05,3.5303726084142305e-05,0.0003188414898371169,0.00011019574754755013,0.0001612334983171119,3088.0,384.0,0.0,256.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0
0.1875,RMP,baseline,0.29825649205486615,0.5003677017368087,0.5314583333333334,0.5314583333333334,0.0,0.0013438682633568533,16.0,16.0,0.8050203970276985,7.496666666666667,7.496666666666667,0.0005186505718059683,1.0,0.0,0.0,3.1514276545308855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6983501272043215e-05,5.4861277361245206e-05,0.000509363764479834,0.00021036701359359236,0.0,3920.0,384.0,2048.0,256.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,8.0,0.0
0.1875,RMP,optimized,0.298256492093701,0.5003677017980824,0.5314583333333334,0.5314583333333334,0.0,0.0007130303264420945,16.0,16.0,0.8050203972127307,7.496666666666667,7.496666666666667,0.0001750880314890916,1.0,0.0,0.0,3.1514276545308855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1124225865351033e-05,4.354106791045827e-05,0.0001750880314890916,0.00017799646428708608,0.00015566589102187814,3088.0,384.0,0.0,256.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0
0.1875,gOMP,baseline,0.3214359625378117,0.502564117136396,0.5116666666666667,0.5116666666666667,0.0,0.0006391568831168115,6.0,16.0,0.550611944678729,7.8133333333333335,7.8133333333333335,0.00024064723053015768,3.0,0.0,0.0,3.18981958819627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0773230731332056e-05,0.00010349616190069355,0.00024064723053015768,5.042175636238729e-05,0.0,3280.0,384.0,2048.0,256.0,0.0,0.0,488.0,56.0,0.0,0.0,0.0,48.0,0.0
0.1875,gOMP,optimized,0.32143596250814255,0.5025641171259898,0.5116666666666667,0.5116666666666667,0.0,0.00032836401694415446,6.0,16.0,0.550611944678729,7.8133333333333335,7.8133333333333335,0.00011524948970569919,3.0,0.0,0.0,3.18981958819627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5780765960613885e-05,7.7858645915209e-05,0.00011524948970569919,4.060441026619325e-05,0.0,832.0,384.0,0.0,256.0,0.0,0.0,128.0,56.0,0.0,0.0,0.0,8.0,0.0
0.25,Improved-gOMP,baseline,0.08770854096699941,0.2305161706087882,0.6972916666666666,0.7105737179487179,0.0,0.0029250557429137793,5.973333333333334,15.75,0.5074676688827916,4.593333333333334,4.843333333333334,0.00023045779424137435,17.096126984126983,0.0,0.0,2.729478326034934,0.9433333333333334,0.9433333333333334,1.0,1.0,1.0,1.0,0.0,3.091117110064564e-05,0.002001787598322456,0.00019336479240640377,4.155137028040675e-05,0.00027759498358742953,3273.8933333333334,512.0,2048.0,0.0,0.0,0.0,466.96,55.78666666666667,47.78666666666667,47.78666666666667,47.78666666666667,47.78666666666667,0.0
0.25,Improved-gOMP,optimized,0.05642913758803,0.17738292193040525,0.75125,0.7853722804972805,0.0,0.0014518824563613938,5.83,15.393333333333333,0.433568718369111,3.3733333333333335,3.98,0.000163272447049773,0.0,0.0,0.0,2.6581108519898646,0.87,0.87,0.0,0.0,1.0,0.0,1.0,2.7120807450652745e-05,0.0007255967903862863,0.0002846155004226603,4.2534543220729876e-05,0.0001936669885374916,4823.2,512.0,2048.0,0.0,1907.6266666666668,123.14666666666666,123.14666666666666,54.64,46.64,0.0,0.0,8.0,0.0
