matrix_kind,baseline_peak_working_set_bytes,baseline_solver_gram_bytes,baseline_support_history_bytes,optimized_peak_working_set_bytes,optimized_solver_gram_bytes,optimized_support_history_bytes,memory_saving_ratio,peak_working_set_delta_bytes,solver_gram_delta_bytes,support_history_delta_bytes
bernoulli,3497.6,0.0,441.6,4966.0,1804.4,119.6,0.7043093032621828,1468.4,1804.4,-322.0
gaussian,3512.4,0.0,452.4,4985.6,1822.4,120.0,0.7045089858793324,1473.2000000000003,1822.4,-332.4
partial_dct,3468.4,0.0,418.4,4942.0,1782.0,118.8,0.7018211250505868,1473.6,1782.0,-299.59999999999997
