measurement_ratio,baseline_peak_working_set_bytes,baseline_solver_gram_bytes,baseline_support_history_bytes,optimized_peak_working_set_bytes,optimized_solver_gram_bytes,optimized_support_history_bytes,memory_saving_ratio,peak_working_set_delta_bytes,solver_gram_delta_bytes,support_history_delta_bytes
0.1875,3138.0,0.0,462.0,4612.4,1832.4,120.4,0.6803399531697165,1474.3999999999996,1832.4,-341.6
0.25,3284.4,0.0,474.4,4612.8,1715.2,116.0,0.7120187304890738,1328.4,1715.2,-358.4
0.3125,3400.0,0.0,466.0,4872.4,1836.4,120.4,0.6978080617354897,1472.3999999999996,1836.4,-345.6
0.375,3492.8,0.0,438.8,5004.0,1839.2,120.8,0.6980015987210232,1511.1999999999998,1839.2,-318.0
0.4375,3615.2,0.0,433.2,5097.2,1806.8,119.6,0.7092521384289414,1482.0,1806.8,-313.6
0.5,3743.6,0.0,433.6,5208.8,1792.8,119.2,0.7187068038703732,1465.2000000000003,1792.8,-314.40000000000003
0.5625,3861.2,0.0,425.2,5353.2,1807.6,119.6,0.7212882014496003,1492.0,1807.6,-305.6
0.625,3986.8,0.0,422.8,5343.2,1680.8,115.2,0.7461446324300045,1356.3999999999996,1680.8,-307.6
