n,baseline_runtime_sec,baseline_nmse,baseline_support_recall,baseline_support_precision,baseline_exact_support_recovery,optimized_runtime_sec,optimized_nmse,optimized_support_recall,optimized_support_precision,optimized_exact_support_recovery,speedup_ratio,nmse_delta,support_recall_delta,support_precision_delta,exact_support_recovery_delta
128,0.0010162468497583177,0.0033932690472793458,0.928125,0.928125,0.2,0.0005618852002953645,0.0033932690465079845,0.928125,0.928125,0.2,1.8086378662832021,-7.713612734661091e-13,0.0,0.0,0.0
256,0.0010879968509470927,0.004212671040139902,0.903125,0.903125,0.15,0.000602517800325586,0.0042126710398194675,0.903125,0.903125,0.15,1.8057505526959794,-3.2043465103548385e-13,0.0,0.0,0.0
384,0.0010724765505074174,0.005836433571330944,0.896875,0.896875,0.05,0.0005825301499498891,0.005836433569434449,0.896875,0.896875,0.05,1.8410661673042585,-1.8964951137290242e-12,0.0,0.0,0.0
512,0.0011476930500066373,0.005404311781342689,0.875,0.875,0.1,0.0006264266001380747,0.005404311778757734,0.875,0.875,0.1,1.8321269399378426,-2.5849548196399397e-12,0.0,0.0,0.0
