k,algorithm,implementation,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec,peak_working_set_bytes,residual_bytes,x_hat_bytes,support_mask_bytes,solver_gram_bytes,solver_rhs_bytes,support_history_bytes,residual_history_bytes,support_size_history_bytes,candidate_size_history_bytes,group_size_history_bytes,support_condition_history_bytes,extra_array_bytes
28,Improved-gOMP,baseline,0.007796966705887685,0.06461149302094939,0.8821428571428572,0.8821428571428572,0.06666666666666667,0.006463622599949303,11.4,28.0,0.1826208461130005,3.3,3.3,0.0006232320331037045,17.201767676767677,0.0,0.0,3.1468848844342454,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.115136723868393e-05,0.004570725899732982,0.0005431163995429718,7.703760020376649e-05,0.0004754599671893326,4782.4,768.0,2048.0,0.0,0.0,0.0,1502.4,99.2,91.2,91.2,91.2,91.2,0.0
28,Improved-gOMP,optimized,0.011219000090033642,0.07318737006567576,0.8773809523809525,0.8773809523809525,0.06666666666666667,0.005581866833320722,11.4,28.0,0.19870271595855854,3.433333333333333,3.433333333333333,0.00030699116650794166,0.0,0.0,0.0,3.082957271641277,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.3107500752958005e-05,0.00414089346631954,0.0005410152325566742,8.145153309063365e-05,0.00047232663297715286,9734.4,768.0,2048.0,0.0,6272.0,224.0,224.0,99.2,91.2,0.0,0.0,8.0,0.0
28,OMP,baseline,0.0006484210451664394,0.01208986399930109,0.9738095238095238,0.9738095238095238,0.6333333333333333,0.002533598533530797,28.0,28.0,0.04284779105853656,0.7333333333333333,0.7333333333333333,0.001182787832719138,1.0,0.0,0.0,3.007067653505295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012186943301154922,0.00018039756675231427,0.001182787832719138,0.00018526989885382742,0.0,6520.0,768.0,2048.0,0.0,0.0,0.0,3248.0,232.0,0.0,0.0,0.0,224.0,0.0
28,OMP,optimized,0.0006484210457100938,0.012089864103789486,0.9738095238095238,0.9738095238095238,0.6333333333333333,0.0010426515333771629,28.0,28.0,0.042847791435787416,0.7333333333333333,0.7333333333333333,0.0004340950340823232,1.0,0.0,0.0,3.007067653505295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.905380102281924e-05,3.8680833434530844e-05,0.0004340950340823232,0.00014185736551250254,0.0002139495001756586,7984.0,768.0,0.0,256.0,6272.0,224.0,224.0,232.0,0.0,0.0,0.0,8.0,0.0
28,gOMP,baseline,0.009722381437267695,0.06515026296023142,0.8940476190476191,0.8940476190476191,0.06666666666666667,0.0010333426000215696,10.0,28.0,0.17821199974922053,2.966666666666667,2.966666666666667,0.0004782828670916691,3.0,0.0,0.0,3.13127147437004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.110996699940491e-05,9.764836613612715e-05,0.0004782828670916691,6.211360080972857e-05,0.0,4544.0,768.0,2048.0,256.0,0.0,0.0,1304.0,88.0,0.0,0.0,0.0,80.0,0.0
28,gOMP,optimized,0.009722381440846304,0.0651502629872406,0.8940476190476191,0.8940476190476191,0.06666666666666667,0.00039787629993952577,10.0,28.0,0.1782119997927333,2.966666666666667,2.966666666666667,0.0001519597667841784,3.0,0.0,0.0,3.13127147437004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.56105663740891e-05,7.56229997932678e-05,0.0001519597667841784,5.255780051811598e-05,0.0,1344.0,768.0,0.0,256.0,0.0,0.0,224.0,88.0,0.0,0.0,0.0,8.0,0.0
32,Improved-gOMP,baseline,0.06339727375549305,0.16568526891904561,0.78125,0.78125,0.06666666666666667,0.007984256300005654,13.166666666666666,32.0,0.3373460056339797,7.0,7.0,0.0008110514670382448,17.26361416361416,0.0,0.0,3.5921589494442685,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.81616001505366e-05,0.0057782813668382,0.0007207026002409596,8.996826594132775e-05,0.00044641729970559634,5304.266666666666,768.0,2048.0,0.0,0.0,0.0,1953.6,113.33333333333333,105.33333333333333,105.33333333333333,105.33333333333333,105.33333333333333,0.0
32,Improved-gOMP,optimized,0.08822946725197349,0.19137275410338453,0.7760416666666666,0.7760416666666666,0.06666666666666667,0.006848927833198104,13.166666666666666,32.0,0.34955190668916897,7.166666666666667,7.166666666666667,0.000373372100572548,0.0,0.0,0.0,3.434641241877154,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.129303340761302e-05,0.00525425740100521,0.0006290532994777701,8.889233395166229e-05,0.00047951000075651485,11746.666666666666,768.0,2048.0,0.0,8192.0,256.0,256.0,113.33333333333333,105.33333333333333,0.0,0.0,8.0,0.0
32,OMP,baseline,0.045487026964362916,0.09841859680613134,0.8989583333333333,0.8989583333333333,0.4666666666666667,0.003166013566563682,32.0,32.0,0.14518595630561026,3.2333333333333334,3.2333333333333334,0.0015294585324833558,1.0,0.0,0.0,3.375394410340419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014183620023686672,0.0002092333328012804,0.0015294585324833558,0.00020074649940700814,0.0,7560.0,768.0,2048.0,0.0,0.0,0.0,4224.0,264.0,0.0,0.0,0.0,256.0,0.0
32,OMP,optimized,0.045487026955908,0.09841859688106984,0.8989583333333333,0.8989583333333333,0.4666666666666667,0.0011946622666073382,32.0,32.0,0.14518595663451314,3.2333333333333334,3.2333333333333334,0.0005181354014591003,1.0,0.0,0.0,3.375394410340419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011082166674896144,3.9760634596556583e-05,0.0005181354014591003,0.0001658497329117381,0.00023220539994023664,10000.0,768.0,0.0,256.0,8192.0,256.0,256.0,264.0,0.0,0.0,0.0,8.0,0.0
