n,baseline_peak_working_set_bytes,baseline_solver_gram_bytes,baseline_support_history_bytes,optimized_peak_working_set_bytes,optimized_solver_gram_bytes,optimized_support_history_bytes,memory_saving_ratio,peak_working_set_delta_bytes,solver_gram_delta_bytes,support_history_delta_bytes
128,2475.6,0.0,441.6,3942.0,1804.4,119.6,0.6280060882800609,1466.4,1804.4,-322.0
256,3498.8,0.0,442.8,5070.0,1899.6,122.8,0.6900986193293885,1571.1999999999998,1899.6,-320.0
384,4552.8,0.0,466.8,6124.8,1928.8,124.0,0.7433385579937304,1572.0,1928.8,-342.8
512,5551.2,0.0,445.2,6947.6,1742.8,117.2,0.7990097299786976,1396.4000000000005,1742.8,-328.0
