snr_db,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
5.0,RMP,baseline,0.0011173724266700447,5.8013057132484394e-05,4.119693490792997e-05,0.00042686526978892895,0.0001759232826589141,0.0
5.0,RMP,optimized,0.0005891421799121114,5.315467244751441e-05,3.210879605224667e-05,0.00013366424032331756,0.0001548452497809194,0.00012341863242909312
10.0,RMP,baseline,0.0011113818801823073,5.775543996909012e-05,4.07741274102591e-05,0.0004283472654545524,0.00017329903916106558,0.0
10.0,RMP,optimized,0.00059601032694142,5.312056125452121e-05,3.297114012336048e-05,0.00013600434802356177,0.00015425860493754347,0.0001267682877369225
15.0,RMP,baseline,0.001119978793382567,5.76564181149782e-05,4.208031207478295e-05,0.0004353921175061259,0.00017619427570025436,0.0
15.0,RMP,optimized,0.0005912506328119586,5.373911941812063e-05,3.3304570970358326e-05,0.00013369502921705133,0.00015383872785605491,0.00012376897653060344
20.0,RMP,baseline,0.0012003111131101225,6.050535938508498e-05,4.6103966548495614e-05,0.00046432499516716537,0.00018843341429601425,0.0
20.0,RMP,optimized,0.0006346673664423481,5.535157222766429e-05,3.518400466418825e-05,0.0001459541111156189,0.00016416928468970582,0.0001337561285860526
25.0,RMP,baseline,0.0012071411567740142,6.0125961705731846e-05,4.4729245758693044e-05,0.00046692694071680306,0.0001873911991909457,0.0
25.0,RMP,optimized,0.0006299402472116829,5.3966391909246644e-05,3.599116777574333e-05,0.00014580992074722114,0.00016132442358260352,0.00013517713698092847
30.0,RMP,baseline,0.0011407616898456278,5.69827123642123e-05,4.4496244421073546e-05,0.00044261335982203795,0.0001747159968848185,0.0
30.0,RMP,optimized,0.0006049048034280229,5.2560303010977805e-05,3.550232048534478e-05,0.0001380767859033464,0.0001587245469757666,0.0001257802895755352
40.0,RMP,baseline,0.0012397800795345877,5.8711531601147726e-05,4.669843552013238e-05,0.0004809015349019319,0.00019402391932089814,0.0
40.0,RMP,optimized,0.0006562852831848431,5.3563667364263287e-05,3.686565663277482e-05,0.0001502324351167772,0.0001717372585941727,0.00013936600288919483
clean,RMP,baseline,0.001120570943360993,5.532892692523698e-05,4.096867691259831e-05,0.000430639022476195,0.00017593222267654103,0.0
clean,RMP,optimized,0.0006079414869600441,5.0363446401509764e-05,3.4117978696788975e-05,0.0001398963278431135,0.0001555991795612499,0.00012994756718399004
