snr_db,baseline_runtime_sec,baseline_nmse,baseline_support_recall,baseline_support_precision,baseline_exact_support_recovery,optimized_runtime_sec,optimized_nmse,optimized_support_recall,optimized_support_precision,optimized_exact_support_recovery,speedup_ratio,nmse_delta,support_recall_delta,support_precision_delta,exact_support_recovery_delta
5.0,0.0009683519666092859,0.3082582266366368,0.5458333333333333,0.5458333333333333,0.0,0.000541143566321504,0.3082582266328723,0.5458333333333333,0.5458333333333333,0.0,1.789454826547765,-3.764544231898981e-12,0.0,0.0,0.0
10.0,0.0009074117001243091,0.13359628949020821,0.66875,0.66875,0.0,0.0004794052337577644,0.1335962895196283,0.66875,0.66875,0.0,1.8927863866058863,2.942007748529818e-11,0.0,0.0,0.0
15.0,0.0009852490332074618,0.05452923162706879,0.7541666666666667,0.7541666666666667,0.0,0.0004935734663983264,0.05452923166914348,0.7541666666666667,0.7541666666666667,0.0,1.9961547779238618,4.207469095351968e-11,0.0,0.0,0.0
20.0,0.0009564115003740881,0.0389210966524263,0.8145833333333333,0.8145833333333333,0.03333333333333333,0.0005019919333183983,0.03892109669104939,0.8145833333333333,0.8145833333333333,0.03333333333333333,1.905232807331717,3.862308389779301e-11,0.0,0.0,0.0
25.0,0.0009227067999745487,0.03551279848394406,0.81875,0.81875,0.0,0.0005111299666168634,0.03551279852277574,0.81875,0.81875,0.0,1.805229315905475,3.883168092633227e-11,0.0,0.0,0.0
30.0,0.0009350905996446576,0.02805263264792817,0.86875,0.86875,0.03333333333333333,0.00048504976669695076,0.028052632686565507,0.86875,0.86875,0.03333333333333333,1.9278240375464053,3.8637336385871635e-11,0.0,0.0,0.0
40.0,0.0010138047667472467,0.03086208928096555,0.8666666666666667,0.8666666666666667,0.06666666666666667,0.000525111133659569,0.03086208931657851,0.8666666666666667,0.8666666666666667,0.06666666666666667,1.9306480128918753,3.5612957027808534e-11,0.0,0.0,0.0
clean,0.0009865104333584896,0.02931463887037148,0.83125,0.83125,0.03333333333333333,0.0005265399332226177,0.02931463890814751,0.83125,0.83125,0.03333333333333333,1.8735719194566756,3.777602883281439e-11,0.0,0.0,0.0
