snr_db,baseline_runtime_sec,baseline_nmse,baseline_support_recall,baseline_support_precision,baseline_exact_support_recovery,optimized_runtime_sec,optimized_nmse,optimized_support_recall,optimized_support_precision,optimized_exact_support_recovery,speedup_ratio,nmse_delta,support_recall_delta,support_precision_delta,exact_support_recovery_delta
5.0,0.0010895024335089451,0.3314170939912375,0.41875,0.6671957671957672,0.0,0.000558075966546312,0.2683605220388458,0.44166666666666665,0.8157407407407408,0.0,1.9522475412288387,-0.06305657195239167,0.02291666666666664,0.14854497354497354,0.0
10.0,0.00150156523292632,0.10989133230931049,0.6083333333333333,0.7560311447811449,0.0,0.0007842724665048687,0.11325234812794792,0.625,0.7961784511784511,0.0,1.9145963897191058,0.0033610158186374306,0.01666666666666672,0.04014730639730624,0.0
15.0,0.0018588923998322572,0.02006817015545506,0.7291666666666666,0.849071484071484,0.0,0.0008641212337048879,0.019487399109928603,0.7333333333333333,0.9040899378399379,0.0,2.151193984508776,-0.0005807710455264549,0.004166666666666652,0.05501845376845382,0.0
20.0,0.002387050966838918,0.00550748318903738,0.8666666666666667,0.8928525641025641,0.06666666666666667,0.00110402183321033,0.004593103986093336,0.8833333333333333,0.9373611111111111,0.1,2.1621410872806126,-0.0009143792029440443,0.016666666666666607,0.044508547008547006,0.03333333333333334
25.0,0.002434294866664762,0.004214878272344018,0.8916666666666667,0.913611111111111,0.13333333333333333,0.0011879873335904753,0.0016035541276057058,0.9270833333333334,0.9636111111111111,0.2,2.0490916004192985,-0.0026113241447383124,0.03541666666666665,0.050000000000000044,0.06666666666666668
30.0,0.002491699000286947,0.0025241097620364956,0.9125,0.9166666666666666,0.1,0.0013196889667597134,0.0005163094462109017,0.9583333333333334,0.9663888888888889,0.43333333333333335,1.888095652117876,-0.0020078003158255937,0.04583333333333339,0.04972222222222222,0.33333333333333337
40.0,0.002493532766069014,0.0017599625605234151,0.9395833333333333,0.9395833333333333,0.3333333333333333,0.0012957861999893794,0.0004648197562992211,0.975,0.975,0.6333333333333333,1.924339652706173,-0.001295142804224194,0.03541666666666665,0.03541666666666665,0.3
clean,0.002555388400166218,0.002576644727526366,0.9145833333333333,0.9145833333333333,0.26666666666666666,0.0012128077333424395,0.000471690164070652,0.9854166666666667,0.9854166666666667,0.8,2.107002066290995,-0.002104954563455714,0.07083333333333341,0.07083333333333341,0.5333333333333334
