snr_db,baseline_runtime_sec,baseline_nmse,baseline_support_recall,baseline_support_precision,baseline_exact_support_recovery,optimized_runtime_sec,optimized_nmse,optimized_support_recall,optimized_support_precision,optimized_exact_support_recovery,speedup_ratio,nmse_delta,support_recall_delta,support_precision_delta,exact_support_recovery_delta
5.0,0.0011621139631218587,0.41992905910919653,0.510625,0.510625,0.0,0.0006411142637565111,0.4199290590014414,0.510625,0.510625,0.0,1.8126471813505278,-1.0775513814564874e-10,0.0,0.0,0.0
10.0,0.001190370866873612,0.09906647159062348,0.7035416666666666,0.7035416666666666,0.0,0.0006349822628544644,0.09906647156753945,0.7035416666666666,0.7035416666666666,0.0,1.874652154097162,-2.308403468376241e-11,0.0,0.0,0.0
15.0,0.0011408137268639014,0.02276260413379793,0.813125,0.813125,0.04,0.0006225651463804146,0.022762604127824906,0.813125,0.813125,0.04,1.8324407228650321,-5.973024158612006e-12,0.0,0.0,0.0
20.0,0.0011905382098727083,0.004751872586335058,0.8954166666666666,0.8954166666666666,0.13,0.000666350346194425,0.00475187258468705,0.8954166666666666,0.8954166666666666,0.13,1.7866550481619137,-1.6480072514979405e-12,0.0,0.0,0.0
25.0,0.0012396802205087928,0.0012085056593242746,0.9410416666666667,0.9410416666666667,0.36666666666666664,0.0006829339540369499,0.0012085056592702234,0.9410416666666667,0.9410416666666667,0.36666666666666664,1.8152270994593431,-5.4051164585788847e-14,0.0,0.0,0.0
30.0,0.0011677293600223493,0.00034708035747861164,0.9720833333333333,0.9720833333333333,0.6266666666666667,0.0006487599407652548,0.0003470803574494911,0.9720833333333333,0.9720833333333333,0.6266666666666667,1.799940604601659,-2.912053194067954e-14,0.0,0.0,0.0
40.0,0.0012710700837972883,2.3256465517841542e-05,0.99,0.99,0.8433333333333334,0.0006983145131380297,2.3256465498115835e-05,0.99,0.99,0.8433333333333334,1.8201971459614317,-1.9725706663789935e-14,0.0,0.0,0.0
clean,0.0011606694666746382,2.83807238885729e-30,1.0,1.0,1.0,0.000641566050471738,1.7018225833898908e-20,1.0,1.0,1.0,1.8091192104401532,1.7018225831060836e-20,0.0,0.0,0.0
