measurement_ratio,baseline_peak_working_set_bytes,baseline_solver_gram_bytes,baseline_support_history_bytes,optimized_peak_working_set_bytes,optimized_solver_gram_bytes,optimized_support_history_bytes,memory_saving_ratio,peak_working_set_delta_bytes,solver_gram_delta_bytes,support_history_delta_bytes
0.1875,3784.0,0.0,1088.0,3088.0,2048.0,128.0,1.2253886010362693,-696.0,2048.0,-960.0
0.25,3912.0,0.0,1088.0,3216.0,2048.0,128.0,1.2164179104477613,-696.0,2048.0,-960.0
0.3125,4040.0,0.0,1088.0,3344.0,2048.0,128.0,1.208133971291866,-696.0,2048.0,-960.0
0.375,4168.0,0.0,1088.0,3472.0,2048.0,128.0,1.2004608294930876,-696.0,2048.0,-960.0
0.4375,4296.0,0.0,1088.0,3600.0,2048.0,128.0,1.1933333333333334,-696.0,2048.0,-960.0
0.5,4424.0,0.0,1088.0,3728.0,2048.0,128.0,1.1866952789699572,-696.0,2048.0,-960.0
0.5625,4552.0,0.0,1088.0,3856.0,2048.0,128.0,1.1804979253112033,-696.0,2048.0,-960.0
0.625,4680.0,0.0,1088.0,3984.0,2048.0,128.0,1.1746987951807228,-696.0,2048.0,-960.0
