measurement_ratio,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
0.1875,OMP,baseline,0.001357764533070925,7.876756848418154e-05,0.00016184706075970704,0.0005262855888577178,0.0001246859385961822,0.0
0.1875,OMP,optimized,0.0007908668630989268,6.653406036396822e-05,3.5303726084142305e-05,0.0003188414898371169,0.00011019574754755013,0.0001612334983171119
0.25,OMP,baseline,0.001197597803111421,7.282175259509434e-05,0.00013720856198536543,0.00046805864166041527,0.00011184899970733871,0.0
0.25,OMP,optimized,0.0006693584903162749,6.0432260264254484e-05,3.0215003547103456e-05,0.000267595369805349,8.936543085534746e-05,0.000137233168061357
0.3125,OMP,baseline,0.0011510961332533043,7.292984490050003e-05,0.00013268629477048913,0.00044702081412348587,0.00011055803746179057,0.0
0.3125,OMP,optimized,0.0006415634867638194,6.348873915461203e-05,2.7094113029306755e-05,0.00025391543468382833,8.599411972681992e-05,0.0001295757034192017
0.375,OMP,baseline,0.0011249498598044738,7.639228094679614e-05,0.00012646017979326036,0.0004356313558431187,0.00011156701085080082,0.0
0.375,OMP,optimized,0.0006048148939832269,6.16490262230703e-05,2.5461761542828753e-05,0.0002359366762296607,8.156697134836577e-05,0.00012328555710458506
0.4375,OMP,baseline,0.001199606233567465,8.314127092792964e-05,0.00013523467695146488,0.00046140882729863125,0.00012167122729200249,0.0
0.4375,OMP,optimized,0.0006280198535144639,6.881820988686134e-05,2.6028876260776693e-05,0.00024314039284945466,8.482457022182644e-05,0.00012539477097258593
0.5,OMP,baseline,0.0012554671498946845,9.140257801239689e-05,0.00014057199737483946,0.00047383889172730655,0.00013400572002865375,0.0
0.5,OMP,optimized,0.0006690015797600306,8.018565572759448e-05,2.851564315884995e-05,0.0002487785351695493,9.171039666398428e-05,0.00013325110548369898
0.5625,OMP,baseline,0.0012468582432484255,9.083143580937758e-05,0.00013971827012331536,0.00047615677433592886,0.00013308666195371188,0.0
0.5625,OMP,optimized,0.0006683810864342377,7.82743982563261e-05,2.7976345736533405e-05,0.0002466525058359063,9.654103555173302e-05,0.00013232337849331088
0.625,OMP,baseline,0.0013283848496212158,0.00010011029119292896,0.00014618833403801546,0.0005008296609836785,0.0001452307332753359,0.0
0.625,OMP,optimized,0.00069223490000392,8.270163646860359e-05,2.8061445724839966e-05,0.0002549482524530807,9.710870508570225e-05,0.0001363140634202864
