coeff_mode,baseline_runtime_sec,baseline_nmse,baseline_support_recall,baseline_support_precision,baseline_exact_support_recovery,optimized_runtime_sec,optimized_nmse,optimized_support_recall,optimized_support_precision,optimized_exact_support_recovery,speedup_ratio,nmse_delta,support_recall_delta,support_precision_delta,exact_support_recovery_delta
gaussian,0.0004532015500444686,0.005129790836770134,0.884375,0.884375,0.0,0.0002355004497076152,0.005129790836920471,0.884375,0.884375,0.0,1.9244190429663275,1.5033720796031602e-13,0.0,0.0,0.0
rademacher,0.00047859279984550083,0.1440103170255301,0.896875,0.896875,0.2,0.000237354550154123,0.1440103170262325,0.896875,0.896875,0.2,2.0163624397962163,7.023825965291053e-13,0.0,0.0,0.0
uniform,0.00047416920042451236,0.007984651573588922,0.89375,0.89375,0.05,0.00026303829999960724,0.007984651575166143,0.89375,0.89375,0.05,1.8026621994790126,1.5772209926989689e-12,0.0,0.0,0.0
