n,algorithm,implementation,peak_working_set_bytes,residual_bytes,x_hat_bytes,support_mask_bytes,solver_gram_bytes,solver_rhs_bytes,support_history_bytes,residual_history_bytes,support_size_history_bytes,candidate_size_history_bytes,group_size_history_bytes,support_condition_history_bytes,extra_array_bytes
128,OMP,baseline,3144.0,768.0,1024.0,0.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,128.0,0.0
128,OMP,optimized,3344.0,768.0,0.0,128.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0
256,OMP,baseline,4168.0,768.0,2048.0,0.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,128.0,0.0
256,OMP,optimized,3472.0,768.0,0.0,256.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0
384,OMP,baseline,5192.0,768.0,3072.0,0.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,128.0,0.0
384,OMP,optimized,3600.0,768.0,0.0,384.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0
512,OMP,baseline,6216.0,768.0,4096.0,0.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,128.0,0.0
512,OMP,optimized,3728.0,768.0,0.0,512.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0
