coeff_mode,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
gaussian,gOMP,baseline,0.0004532015500444686,2.3360951490758453e-05,6.416100168280537e-05,0.0001781777486030478,3.6582400753104594e-05,0.0
gaussian,gOMP,optimized,0.0002355004497076152,2.236355012428248e-05,5.138314954820089e-05,8.39565007481724e-05,2.9026349329797087e-05,0.0
rademacher,gOMP,baseline,0.00047859279984550083,2.477180041751126e-05,7.021019973763032e-05,0.00018119915039278568,4.104819799977122e-05,0.0
rademacher,gOMP,optimized,0.000237354550154123,2.2740350323147142e-05,5.565095034398837e-05,8.236239955294877e-05,2.7636898812488654e-05,0.0
uniform,gOMP,baseline,0.00047416920042451236,2.3416298063239083e-05,6.451150056818733e-05,0.00017426969880034447,4.742534911201801e-05,0.0
uniform,gOMP,optimized,0.00026303829999960724,2.4712550111871678e-05,5.660099941451335e-05,0.00010104059947479982,2.9785999868181533e-05,0.0
