snr_db,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
5.0,Improved-gOMP,baseline,0.0010895024335089451,1.6008666837781977e-05,0.0008308932324628889,7.554750009148847e-05,2.028196734803108e-05,1.8420330889057368e-06
5.0,Improved-gOMP,optimized,0.000558075966546312,1.2844766267032053e-05,0.00031240776625054425,0.00012904766748154847,2.1117066232060704e-05,1.5612661324363822e-06
10.0,Improved-gOMP,baseline,0.00150156523292632,2.159596636677937e-05,0.0010856531993340469,0.00010107026670690781,2.5729634338252556e-05,6.596606654056814e-05
10.0,Improved-gOMP,optimized,0.0007842724665048687,1.8506866399548017e-05,0.00042418393337963304,0.00016877393354661763,2.8735534336495523e-05,4.2526033454729864e-05
15.0,Improved-gOMP,baseline,0.0018588923998322572,2.555316665772504e-05,0.0013325454993416011,0.00012611236610003592,3.660163298870127e-05,8.327453300201644e-05
15.0,Improved-gOMP,optimized,0.0008641212337048879,2.248056637957537e-05,0.0004880226003782203,0.0001883221666503232,3.136956644690751e-05,2.3699633554012205e-05
20.0,Improved-gOMP,baseline,0.002387050966838918,2.811746647542653e-05,0.0016432131336235518,0.00017003736611513886,4.14177999725022e-05,0.0001993133998136424
20.0,Improved-gOMP,optimized,0.00110402183321033,2.4002134159673007e-05,0.0005705406992395486,0.0002216849662848593,3.639819988165982e-05,0.00011762816648115404
25.0,Improved-gOMP,baseline,0.002434294866664762,2.9041132923642483e-05,0.0016525618331797887,0.0001723397343691128,3.8328900094105243e-05,0.0002323293664327745
25.0,Improved-gOMP,optimized,0.0011879873335904753,2.5312366657696352e-05,0.0006025273669365561,0.00023393546701602947,3.919386605654533e-05,0.00014230469957207486
30.0,Improved-gOMP,baseline,0.002491699000286947,3.1636067069484854e-05,0.0016899379677245937,0.00016673836495707898,3.742669844844689e-05,0.00023701846657786518
30.0,Improved-gOMP,optimized,0.0013196889667597134,2.6624200351458664e-05,0.0006491578997762797,0.00024921599979279565,4.0201599889163236e-05,0.00019921293314837386
40.0,Improved-gOMP,baseline,0.002493532766069014,2.9289533874058785e-05,0.0017170753331204954,0.0001611403326630049,3.4609600334079005e-05,0.00022539033258605438
40.0,Improved-gOMP,optimized,0.0012957861999893794,2.6048966052864368e-05,0.0006261169667898988,0.000242528699648877,4.2030300270804825e-05,0.00021005406730788915
clean,Improved-gOMP,baseline,0.002555388400166218,3.098296620009933e-05,0.00176732873248208,0.00017736906762972165,3.978039967478253e-05,0.00020915139915208178
clean,Improved-gOMP,optimized,0.0012128077333424395,2.7402067401756844e-05,0.00058866526693843,0.0002340657678966333,3.8590767144341956e-05,0.00017009433346781104
