n,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
128,gOMP,baseline,0.000637208923290018,2.85233120181753e-05,8.634370567354684e-05,0.00024960798565492345,5.0866263821565855e-05,0.0
128,gOMP,optimized,0.000320962766224208,2.3890627538397287e-05,6.51201428748512e-05,0.00011788334343388366,4.319655185099691e-05,0.0
256,gOMP,baseline,0.0005981894104722111,3.279580792877823e-05,8.679426236388583e-05,0.00022860370775257857,5.0922560282439616e-05,0.0
256,gOMP,optimized,0.00029881450963633444,2.919172805074292e-05,6.456680930568836e-05,0.00010504362663292947,3.698543344701951e-05,0.0
384,gOMP,baseline,0.0006087065396422986,3.964547014523608e-05,9.16353469559302e-05,0.0002244437449553516,5.858758964071361e-05,0.0
384,gOMP,optimized,0.0003029451975695944,3.5351319917632886e-05,6.700772564120902e-05,0.00010304806361091323,3.484651582160344e-05,0.0
512,gOMP,baseline,0.0006025600900951152,4.88579529337585e-05,9.001587595169743e-05,0.0002139338727283757,6.219596597172009e-05,0.0
512,gOMP,optimized,0.0003130217163319079,4.477655752756012e-05,6.915507978798511e-05,0.00010198691040083455,3.6160723539069295e-05,0.0
