coeff_mode,baseline_peak_working_set_bytes,baseline_solver_gram_bytes,baseline_support_history_bytes,optimized_peak_working_set_bytes,optimized_solver_gram_bytes,optimized_support_history_bytes,memory_saving_ratio,peak_working_set_delta_bytes,solver_gram_delta_bytes,support_history_delta_bytes
gaussian,3498.4,0.0,442.26666666666665,4973.8133333333335,1811.2,119.78666666666666,0.7033637504155095,1475.4133333333334,1811.2,-322.48
rademacher,3563.4133333333334,0.0,495.5466666666667,5218.026666666667,2048.0,128.0,0.6829043929761442,1654.6133333333332,2048.0,-367.5466666666667
uniform,3503.2266666666665,0.0,447.8933333333333,5044.666666666667,1877.9466666666667,122.21333333333334,0.6944416545526628,1541.4400000000005,1877.9466666666667,-325.67999999999995
