measurement_ratio,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
0.1875,Improved-gOMP,baseline,0.0022233777006476886,2.1740500415035058e-05,0.0015207057494990295,0.0001441821499611251,3.670945025078254e-05,0.0002108346992827137
0.1875,Improved-gOMP,optimized,0.0011297058501440916,1.9659000099636614e-05,0.000546804449732008,0.00021354729924496496,3.2302551335305904e-05,0.00018096660078299466
0.25,Improved-gOMP,baseline,0.0023531631499281503,2.3576499006594532e-05,0.0016349864501535194,0.0001560866492582136,3.1262251104635654e-05,0.00021400695059128338
0.25,Improved-gOMP,optimized,0.0011042694495699834,2.1587750779872295e-05,0.0005650710503687151,0.000213375050589093,3.304925139673287e-05,0.00013240405041869963
0.3125,Improved-gOMP,baseline,0.0023848290999012533,2.5047899725905154e-05,0.001666420300352911,0.0001507520988525357,3.06704996546614e-05,0.00021432744833873584
0.3125,Improved-gOMP,optimized,0.0011054380000132368,2.346179899177514e-05,0.0005636102503558504,0.00023465449921786786,3.407965159567539e-05,0.00011367579900252167
0.375,Improved-gOMP,baseline,0.0022367970492268795,2.7849249454448e-05,0.0015565389501716708,0.00014823249985056463,3.5451550866127944e-05,0.00017280765023315326
0.375,Improved-gOMP,optimized,0.0011464912500741774,2.8514800396806096e-05,0.0005878806507098489,0.00022873640027682997,3.9355451554001776e-05,0.00012114684996049619
0.4375,Improved-gOMP,baseline,0.0023312784998779533,3.059370028495323e-05,0.0016162395006176667,0.00015031760030979058,3.853544912999496e-05,0.00018620545088197105
0.4375,Improved-gOMP,optimized,0.0011842850497487234,2.851069875760004e-05,0.0006181648988786038,0.00024422890037385515,4.129204971832223e-05,0.0001031024012263515
0.5,Improved-gOMP,baseline,0.00229022650000843,2.99260491374298e-05,0.001617365697893547,0.00015457620029337704,4.1620749834692104e-05,0.00015764029976708115
0.5,Improved-gOMP,optimized,0.0011515408503328217,2.9916799030615947e-05,0.000601964949601097,0.00022565960007341345,4.332970111136092e-05,0.00010717164968809811
0.5625,Improved-gOMP,baseline,0.002329870050016325,3.311400032544043e-05,0.0016632628512525116,0.00016281625012197764,4.273049926268868e-05,0.00012237164955877233
0.5625,Improved-gOMP,optimized,0.0012205620996610378,3.0650449480162935e-05,0.0006404732492228504,0.00023644190077902748,5.317289997037733e-05,0.00011366135095158825
0.625,Improved-gOMP,baseline,0.00236733705005463,3.546675070538185e-05,0.0017115218499384355,0.00016590410014032385,4.234195039316546e-05,0.00012045025032421108
0.625,Improved-gOMP,optimized,0.0011248574506680597,3.053224882023642e-05,0.0006030533502780599,0.00022070020058890806,4.4269549471209756e-05,9.083314889721806e-05
