matrix_kind,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
bernoulli,gOMP,baseline,0.0004936353494485957,2.4210049195971807e-05,6.821719998697517e-05,0.00019342749947099948,3.7808099114045036e-05,0.0
bernoulli,gOMP,optimized,0.0002472490496074897,2.3168601001088972e-05,5.115549938636832e-05,9.121560087805846e-05,3.186345056747086e-05,0.0
gaussian,gOMP,baseline,0.0004996419504095684,2.8190950797579716e-05,6.564374943991424e-05,0.00019460895036900184,4.02356004997273e-05,0.0
gaussian,gOMP,optimized,0.00025616044986236374,2.4585449864389375e-05,5.28983506228542e-05,9.355310139653738e-05,3.3936600448214446e-05,0.0
partial_dct,gOMP,baseline,0.0004819854000743362,2.5197949435096233e-05,6.265315005293814e-05,0.00018002584929490694,4.0690950299904216e-05,0.0
partial_dct,gOMP,optimized,0.0002386066496910644,2.258870044897776e-05,4.702490114141256e-05,8.832180083118146e-05,2.8135599495726638e-05,0.0
