n,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
128,OMP,baseline,0.0010694600001443177,6.107999943196773e-05,9.412001818418503e-05,0.00045284005464054646,8.945993613451719e-05,0.0
128,OMP,optimized,0.0006401199905667454,4.889998235739768e-05,2.302001230418682e-05,0.000280459999339655,8.610000950284302e-05,0.00012563998461700976
256,OMP,baseline,0.0011113199987448751,7.120000664144755e-05,0.00010664002038538457,0.0004532399936579168,0.00010628001764416695,0.0
256,OMP,optimized,0.0005807599984109402,5.9439981123432516e-05,2.230003010481596e-05,0.00022998001077212393,8.099995902739465e-05,0.0001206599932629615
384,OMP,baseline,0.001062439999077469,7.947998819872737e-05,0.00011062001576647162,0.00041019999771378933,0.00010966001427732408,0.0
384,OMP,optimized,0.0006350399984512478,7.280000718310476e-05,2.4640001356601715e-05,0.0002444000041577965,8.486000588163734e-05,0.0001375199994072318
512,OMP,baseline,0.0011041800025850534,9.662003139965236e-05,0.00011160001158714295,0.00041419998742640016,0.00011957998503930867,0.0
512,OMP,optimized,0.000787780003156513,0.00011928002350032329,8.193996618501841e-05,0.0002628999878652394,9.252002928406e-05,0.00014866001438349486
