measurement_ratio,baseline_runtime_sec,baseline_nmse,baseline_support_recall,baseline_support_precision,baseline_exact_support_recovery,optimized_runtime_sec,optimized_nmse,optimized_support_recall,optimized_support_precision,optimized_exact_support_recovery,speedup_ratio,nmse_delta,support_recall_delta,support_precision_delta,exact_support_recovery_delta
0.1875,0.0009063739506018464,0.5133323928610243,0.46875,0.46875,0.0,0.0005428241998743033,0.5133323927541946,0.46875,0.46875,0.0,1.6697375518846191,-1.0682965623232121e-10,0.0,0.0,0.0
0.25,0.0009115368002312607,0.01794442171986453,0.790625,0.790625,0.0,0.0004892148999715573,0.017944421718469647,0.790625,0.790625,0.0,1.8632645904371616,-1.3948842081390467e-12,0.0,0.0,0.0
0.3125,0.000989957399724517,0.0073067571112897635,0.884375,0.884375,0.0,0.0005369426997276605,0.007306757108309829,0.884375,0.884375,0.0,1.8436928190412636,-2.979934875246837e-12,0.0,0.0,0.0
0.375,0.001031114450415771,0.0035658469946026937,0.925,0.925,0.25,0.0005176587495952844,0.003565846993140684,0.925,0.925,0.25,1.9918806573286283,-1.4620097667228382e-12,0.0,0.0,0.0
0.4375,0.0010174116503549157,0.003243336201939047,0.925,0.925,0.35,0.0005268592500215164,0.0032433362006594212,0.925,0.925,0.35,1.931088142256904,-1.2796257109481957e-12,0.0,0.0,0.0
0.5,0.0010064727503049653,0.002751329347766744,0.915625,0.915625,0.3,0.0005171264492673799,0.0027513293479159073,0.915625,0.915625,0.3,1.9462797768918008,1.4916323384794872e-13,0.0,0.0,0.0
0.5625,0.0010472413505340228,0.00219412433907436,0.928125,0.928125,0.3,0.0005683823497747653,0.0021941243387203968,0.928125,0.928125,0.3,1.8424944950331699,-3.539633863791636e-13,0.0,0.0,0.0
0.625,0.0010605972998746437,0.002391974953419175,0.91875,0.91875,0.25,0.0005838743496497045,0.00239197495282207,0.91875,0.91875,0.25,1.8164820915852,-5.971048308572868e-13,0.0,0.0,0.0
